,date_jour,code_site,drop_after_tch_assign,techno
0,20230127,OCI0001,970,2G
1,20230127,OCI0002,367,2G
2,20230127,OCI0003,309,2G
3,20230127,OCI0004,612,2G
4,20230127,OCI0005,499,2G
5,20230127,OCI0006,501,2G
6,20230127,OCI0007,55,2G
7,20230127,OCI0008,185,2G
8,20230127,OCI0009,290,2G
9,20230127,OCI0010,212,2G
10,20230127,OCI0011,361,2G
11,20230127,OCI0012,242,2G
12,20230127,OCI0013,520,2G
13,20230127,OCI0014,171,2G
14,20230127,OCI0015,681,2G
15,20230127,OCI0016,1021,2G
16,20230127,OCI0017,1195,2G
17,20230127,OCI0018,610,2G
18,20230127,OCI0019,256,2G
19,20230127,OCI0020,388,2G
20,20230127,OCI0021,1817,2G
21,20230127,OCI0022,430,2G
22,20230127,OCI0023,351,2G
23,20230127,OCI0024,441,2G
24,20230127,OCI0025,851,2G
25,20230127,OCI0026,2775,2G
26,20230127,OCI0027,0,2G
27,20230127,OCI0028,841,2G
28,20230127,OCI0029,925,2G
29,20230127,OCI0030,437,2G
30,20230127,OCI0031,533,2G
31,20230127,OCI0032,0,2G
32,20230127,OCI0033,405,2G
33,20230127,OCI0034,12,2G
34,20230127,OCI0035,299,2G
35,20230127,OCI0036,496,2G
36,20230127,OCI0037,467,2G
37,20230127,OCI0038,675,2G
38,20230127,OCI0039,562,2G
39,20230127,OCI0041,591,2G
40,20230127,OCI0042,479,2G
41,20230127,OCI0043,695,2G
42,20230127,OCI0044,561,2G
43,20230127,OCI0045,263,2G
44,20230127,OCI0046,357,2G
45,20230127,OCI0047,233,2G
46,20230127,OCI0048,344,2G
47,20230127,OCI0049,1161,2G
48,20230127,OCI0050,1151,2G
49,20230127,OCI0051,588,2G
50,20230127,OCI0052,169,2G
51,20230127,OCI0053,245,2G
52,20230127,OCI0054,151,2G
53,20230127,OCI0055,441,2G
54,20230127,OCI0056,526,2G
55,20230127,OCI0057,664,2G
56,20230127,OCI0058,51,2G
57,20230127,OCI0059,2100,2G
58,20230127,OCI0060,412,2G
59,20230127,OCI0061,399,2G
60,20230127,OCI0062,235,2G
61,20230127,OCI0063,629,2G
62,20230127,OCI0064,565,2G
63,20230127,OCI0065,502,2G
64,20230127,OCI0066,134,2G
65,20230127,OCI0067,522,2G
66,20230127,OCI0068,461,2G
67,20230127,OCI0069,384,2G
68,20230127,OCI0070,592,2G
69,20230127,OCI0071,208,2G
70,20230127,OCI0072,192,2G
71,20230127,OCI0073,248,2G
72,20230127,OCI0074,264,2G
73,20230127,OCI0075,512,2G
74,20230127,OCI0076,1531,2G
75,20230127,OCI0077,426,2G
76,20230127,OCI0078,837,2G
77,20230127,OCI0080,380,2G
78,20230127,OCI0081,352,2G
79,20230127,OCI0082,172,2G
80,20230127,OCI0083,339,2G
81,20230127,OCI0084,298,2G
82,20230127,OCI0085,120,2G
83,20230127,OCI0086,195,2G
84,20230127,OCI0087,424,2G
85,20230127,OCI0088,325,2G
86,20230127,OCI0089,545,2G
87,20230127,OCI0090,78,2G
88,20230127,OCI0091,928,2G
89,20230127,OCI0092,2043,2G
90,20230127,OCI0093,1216,2G
91,20230127,OCI0094,489,2G
92,20230127,OCI0095,190,2G
93,20230127,OCI0096,242,2G
94,20230127,OCI0097,1038,2G
95,20230127,OCI0098,629,2G
96,20230127,OCI0099,100,2G
97,20230127,OCI0100,406,2G
98,20230127,OCI0101,389,2G
99,20230127,OCI0102,346,2G
100,20230127,OCI0104,626,2G
101,20230127,OCI0105,786,2G
102,20230127,OCI0106,349,2G
103,20230127,OCI0107,127,2G
104,20230127,OCI0108,403,2G
105,20230127,OCI0109,224,2G
106,20230127,OCI0110,111,2G
107,20230127,OCI0111,96,2G
108,20230127,OCI0112,1973,2G
109,20230127,OCI0113,484,2G
110,20230127,OCI0114,170,2G
111,20230127,OCI0115,178,2G
112,20230127,OCI0116,3138,2G
