,date_jour,code_site,drop_after_tch_assign,techno
0,20230110,OCI0001,24,2G
1,20230110,OCI0002,21,2G
2,20230110,OCI0003,16,2G
3,20230110,OCI0004,38,2G
4,20230110,OCI0005,41,2G
5,20230110,OCI0006,20,2G
6,20230110,OCI0007,0,2G
7,20230110,OCI0008,11,2G
8,20230110,OCI0009,11,2G
9,20230110,OCI0010,12,2G
10,20230110,OCI0011,12,2G
11,20230110,OCI0012,13,2G
12,20230110,OCI0013,12,2G
13,20230110,OCI0014,7,2G
14,20230110,OCI0015,25,2G
15,20230110,OCI0016,59,2G
16,20230110,OCI0017,46,2G
17,20230110,OCI0018,4,2G
18,20230110,OCI0019,10,2G
19,20230110,OCI0020,19,2G
20,20230110,OCI0021,81,2G
21,20230110,OCI0022,12,2G
22,20230110,OCI0023,18,2G
23,20230110,OCI0024,17,2G
24,20230110,OCI0025,54,2G
25,20230110,OCI0026,83,2G
26,20230110,OCI0027,0,2G
27,20230110,OCI0028,59,2G
28,20230110,OCI0029,24,2G
29,20230110,OCI0030,15,2G
30,20230110,OCI0031,34,2G
31,20230110,OCI0032,0,2G
32,20230110,OCI0033,33,2G
33,20230110,OCI0034,0,2G
34,20230110,OCI0035,8,2G
35,20230110,OCI0036,18,2G
36,20230110,OCI0037,29,2G
37,20230110,OCI0038,49,2G
38,20230110,OCI0039,34,2G
39,20230110,OCI0041,10,2G
40,20230110,OCI0042,20,2G
41,20230110,OCI0043,37,2G
42,20230110,OCI0044,21,2G
43,20230110,OCI0045,10,2G
44,20230110,OCI0046,17,2G
45,20230110,OCI0047,7,2G
46,20230110,OCI0048,13,2G
47,20230110,OCI0049,47,2G
48,20230110,OCI0050,33,2G
49,20230110,OCI0051,29,2G
50,20230110,OCI0052,5,2G
51,20230110,OCI0053,11,2G
52,20230110,OCI0054,4,2G
53,20230110,OCI0055,12,2G
54,20230110,OCI0056,11,2G
55,20230110,OCI0057,33,2G
56,20230110,OCI0058,12,2G
57,20230110,OCI0059,116,2G
58,20230110,OCI0060,31,2G
59,20230110,OCI0061,16,2G
60,20230110,OCI0062,17,2G
61,20230110,OCI0063,21,2G
62,20230110,OCI0064,32,2G
63,20230110,OCI0065,18,2G
64,20230110,OCI0066,7,2G
65,20230110,OCI0067,35,2G
66,20230110,OCI0068,17,2G
67,20230110,OCI0069,20,2G
68,20230110,OCI0070,26,2G
69,20230110,OCI0071,10,2G
70,20230110,OCI0072,5,2G
71,20230110,OCI0073,17,2G
72,20230110,OCI0074,11,2G
73,20230110,OCI0075,18,2G
74,20230110,OCI0076,22,2G
75,20230110,OCI0077,20,2G
76,20230110,OCI0078,39,2G
77,20230110,OCI0080,12,2G
78,20230110,OCI0081,6,2G
79,20230110,OCI0082,9,2G
80,20230110,OCI0083,11,2G
81,20230110,OCI0084,4,2G
82,20230110,OCI0085,3,2G
83,20230110,OCI0086,23,2G
84,20230110,OCI0087,17,2G
85,20230110,OCI0088,19,2G
86,20230110,OCI0089,14,2G
87,20230110,OCI0090,7,2G
88,20230110,OCI0091,29,2G
89,20230110,OCI0092,37,2G
90,20230110,OCI0093,50,2G
91,20230110,OCI0094,31,2G
92,20230110,OCI0095,12,2G
93,20230110,OCI0096,7,2G
94,20230110,OCI0097,32,2G
95,20230110,OCI0098,30,2G
96,20230110,OCI0099,4,2G
97,20230110,OCI0100,13,2G
98,20230110,OCI0101,19,2G
99,20230110,OCI0102,11,2G
100,20230110,OCI0104,33,2G
101,20230110,OCI0105,26,2G
102,20230110,OCI0106,4,2G
103,20230110,OCI0107,3,2G
104,20230110,OCI0108,14,2G
105,20230110,OCI0109,17,2G
106,20230110,OCI0110,4,2G
107,20230110,OCI0111,5,2G
108,20230110,OCI0112,131,2G
109,20230110,OCI0113,42,2G
110,20230110,OCI0114,8,2G
111,20230110,OCI0115,7,2G
