,date_jour,code_site,drop_after_tch_assign,techno
0,20230118,-1,24,2G
1,20230118,311,40,2G
2,20230118,OCI0001,763,2G
3,20230118,OCI0002,229,2G
4,20230118,OCI0003,216,2G
5,20230118,OCI0004,729,2G
6,20230118,OCI0005,445,2G
7,20230118,OCI0006,389,2G
8,20230118,OCI0007,61,2G
9,20230118,OCI0008,145,2G
10,20230118,OCI0009,329,2G
11,20230118,OCI0010,243,2G
12,20230118,OCI0011,330,2G
13,20230118,OCI0012,263,2G
14,20230118,OCI0013,371,2G
15,20230118,OCI0014,147,2G
16,20230118,OCI0015,639,2G
17,20230118,OCI0016,1141,2G
18,20230118,OCI0017,1104,2G
19,20230118,OCI0018,521,2G
20,20230118,OCI0019,288,2G
21,20230118,OCI0020,353,2G
22,20230118,OCI0021,1664,2G
23,20230118,OCI0022,424,2G
24,20230118,OCI0023,281,2G
25,20230118,OCI0024,450,2G
26,20230118,OCI0025,868,2G
27,20230118,OCI0026,2202,2G
28,20230118,OCI0027,0,2G
29,20230118,OCI0028,805,2G
30,20230118,OCI0029,910,2G
31,20230118,OCI0030,385,2G
32,20230118,OCI0031,467,2G
33,20230118,OCI0032,4,2G
34,20230118,OCI0033,406,2G
35,20230118,OCI0034,12,2G
36,20230118,OCI0035,292,2G
37,20230118,OCI0036,431,2G
38,20230118,OCI0037,380,2G
39,20230118,OCI0038,593,2G
40,20230118,OCI0039,561,2G
41,20230118,OCI0041,370,2G
42,20230118,OCI0042,492,2G
43,20230118,OCI0043,833,2G
44,20230118,OCI0044,518,2G
45,20230118,OCI0045,301,2G
46,20230118,OCI0046,375,2G
47,20230118,OCI0047,146,2G
48,20230118,OCI0048,350,2G
49,20230118,OCI0049,1495,2G
50,20230118,OCI0050,1195,2G
51,20230118,OCI0051,487,2G
52,20230118,OCI0052,228,2G
53,20230118,OCI0053,163,2G
54,20230118,OCI0054,169,2G
55,20230118,OCI0055,438,2G
56,20230118,OCI0056,518,2G
57,20230118,OCI0057,774,2G
58,20230118,OCI0058,63,2G
59,20230118,OCI0059,1640,2G
60,20230118,OCI0060,576,2G
61,20230118,OCI0061,311,2G
62,20230118,OCI0062,229,2G
63,20230118,OCI0063,495,2G
64,20230118,OCI0064,404,2G
65,20230118,OCI0065,479,2G
66,20230118,OCI0066,162,2G
67,20230118,OCI0067,439,2G
68,20230118,OCI0068,397,2G
69,20230118,OCI0069,342,2G
70,20230118,OCI0070,426,2G
71,20230118,OCI0071,263,2G
72,20230118,OCI0072,189,2G
73,20230118,OCI0073,279,2G
74,20230118,OCI0074,265,2G
75,20230118,OCI0075,307,2G
76,20230118,OCI0076,475,2G
77,20230118,OCI0077,254,2G
78,20230118,OCI0078,472,2G
79,20230118,OCI0080,428,2G
80,20230118,OCI0081,297,2G
81,20230118,OCI0082,162,2G
82,20230118,OCI0083,338,2G
83,20230118,OCI0084,323,2G
84,20230118,OCI0085,187,2G
85,20230118,OCI0086,252,2G
86,20230118,OCI0087,361,2G
87,20230118,OCI0088,266,2G
88,20230118,OCI0089,313,2G
89,20230118,OCI0090,109,2G
90,20230118,OCI0091,730,2G
91,20230118,OCI0092,1468,2G
92,20230118,OCI0093,1115,2G
