,date_jour,code_site,drop_after_tch_assign,techno
0,20230131,OCI0001,868,2G
1,20230131,OCI0002,328,2G
2,20230131,OCI0003,354,2G
3,20230131,OCI0004,668,2G
4,20230131,OCI0005,549,2G
5,20230131,OCI0006,536,2G
6,20230131,OCI0007,92,2G
7,20230131,OCI0008,84,2G
8,20230131,OCI0009,388,2G
9,20230131,OCI0010,228,2G
10,20230131,OCI0011,342,2G
11,20230131,OCI0012,239,2G
12,20230131,OCI0013,617,2G
13,20230131,OCI0014,245,2G
14,20230131,OCI0015,703,2G
15,20230131,OCI0016,1138,2G
16,20230131,OCI0017,1189,2G
17,20230131,OCI0018,569,2G
18,20230131,OCI0019,324,2G
19,20230131,OCI0020,322,2G
20,20230131,OCI0021,2016,2G
21,20230131,OCI0022,408,2G
22,20230131,OCI0023,332,2G
23,20230131,OCI0024,460,2G
24,20230131,OCI0025,898,2G
25,20230131,OCI0026,2395,2G
26,20230131,OCI0027,0,2G
27,20230131,OCI0028,943,2G
28,20230131,OCI0029,879,2G
29,20230131,OCI0030,421,2G
30,20230131,OCI0031,1389,2G
31,20230131,OCI0032,4,2G
32,20230131,OCI0033,407,2G
33,20230131,OCI0034,4,2G
34,20230131,OCI0035,281,2G
35,20230131,OCI0036,592,2G
36,20230131,OCI0037,414,2G
37,20230131,OCI0038,950,2G
38,20230131,OCI0039,510,2G
39,20230131,OCI0041,343,2G
40,20230131,OCI0042,468,2G
41,20230131,OCI0043,808,2G
42,20230131,OCI0044,487,2G
43,20230131,OCI0045,332,2G
44,20230131,OCI0046,505,2G
45,20230131,OCI0047,207,2G
46,20230131,OCI0048,372,2G
47,20230131,OCI0049,1225,2G
48,20230131,OCI0050,1252,2G
49,20230131,OCI0051,559,2G
50,20230131,OCI0052,174,2G
51,20230131,OCI0053,202,2G
52,20230131,OCI0054,144,2G
53,20230131,OCI0055,348,2G
54,20230131,OCI0056,661,2G
55,20230131,OCI0057,721,2G
56,20230131,OCI0058,44,2G
57,20230131,OCI0059,1686,2G
58,20230131,OCI0060,497,2G
59,20230131,OCI0061,368,2G
60,20230131,OCI0062,273,2G
61,20230131,OCI0063,532,2G
62,20230131,OCI0064,480,2G
63,20230131,OCI0065,497,2G
64,20230131,OCI0066,164,2G
65,20230131,OCI0067,624,2G
66,20230131,OCI0068,507,2G
67,20230131,OCI0069,292,2G
68,20230131,OCI0070,396,2G
69,20230131,OCI0071,279,2G
70,20230131,OCI0072,156,2G
71,20230131,OCI0073,260,2G
72,20230131,OCI0074,349,2G
73,20230131,OCI0075,636,2G
74,20230131,OCI0076,1117,2G
75,20230131,OCI0077,340,2G
76,20230131,OCI0078,743,2G
77,20230131,OCI0080,541,2G
78,20230131,OCI0081,446,2G
79,20230131,OCI0082,132,2G
80,20230131,OCI0083,342,2G
81,20230131,OCI0084,228,2G
82,20230131,OCI0085,120,2G
83,20230131,OCI0086,248,2G
84,20230131,OCI0087,354,2G
85,20230131,OCI0088,257,2G
86,20230131,OCI0089,328,2G
87,20230131,OCI0090,112,2G
88,20230131,OCI0091,1176,2G
89,20230131,OCI0092,1758,2G
90,20230131,OCI0093,1374,2G
91,20230131,OCI0094,415,2G
92,20230131,OCI0095,229,2G
93,20230131,OCI0096,214,2G
94,20230131,OCI0097,970,2G
95,20230131,OCI0098,570,2G
96,20230131,OCI0099,60,2G
97,20230131,OCI0100,328,2G
98,20230131,OCI0101,944,2G
99,20230131,OCI0102,200,2G
100,20230131,OCI0104,989,2G
101,20230131,OCI0105,745,2G
102,20230131,OCI0106,316,2G
103,20230131,OCI0107,118,2G
104,20230131,OCI0108,380,2G
105,20230131,OCI0109,204,2G
106,20230131,OCI0110,158,2G
107,20230131,OCI0111,72,2G
108,20230131,OCI0112,2297,2G
109,20230131,OCI0113,501,2G
110,20230131,OCI0114,324,2G
111,20230131,OCI0115,204,2G
112,20230131,OCI0116,3447,2G
113,20230131,OCI0117,360,2G
114,20230131,OCI0118,1408,2G
115,20230131,OCI0119,1297,2G
116,20230131,OCI0121,4,2G
117,20230131,OCI0122,1008,2G
118,20230131,OCI0123,637,2G
119,20230131,OCI0124,140,2G
120,20230131,OCI0125,56,2G
121,20230131,OCI0127,847,2G
122,20230131,OCI0128,647,2G
123,20230131,OCI0129,828,2G
124,20230131,OCI0130,140,2G
125,20230131,OCI0132,140,2G
126,20230131,OCI0134,536,2G
127,20230131,OCI0135,634,2G
