,date_jour,code_site,min_cssr_cs,max_cssr_cs,avg_cssr_cs,median_cssr_cs,techno
0,20230312,0,0.0,0.0,0.0,0.0,3G
1,20230312,OCI0001,0.0,100.0,93.38013565891472,100.0,3G
2,20230312,OCI0002,0.0,100.0,94.04213178294573,100.0,3G
3,20230312,OCI0003,0.0,100.0,98.11141472868216,100.0,3G
4,20230312,OCI0004,0.0,100.0,99.46996124031008,100.0,3G
5,20230312,OCI0005,0.0,100.0,97.68771317829457,100.0,3G
6,20230312,OCI0006,0.0,100.0,98.30782945736433,100.0,3G
7,20230312,OCI0007,94.12,100.0,99.95965116279069,100.0,3G
8,20230312,OCI0008,0.0,100.0,78.94772373540856,100.0,3G
9,20230312,OCI0009,0.0,103.23,96.57763565891473,100.0,3G
10,20230312,OCI0010,90.0,100.0,99.6892054263566,100.0,3G
11,20230312,OCI0011,93.1,100.0,99.6738953488372,100.0,3G
12,20230312,OCI0012,0.0,100.0,98.29147286821706,100.0,3G
13,20230312,OCI0013,98.18,100.0,99.87079457364341,100.0,3G
14,20230312,OCI0014,0.0,100.0,99.08472868217055,100.0,3G
15,20230312,OCI0015,97.37,100.0,99.87193798449613,100.0,3G
16,20230312,OCI0016,0.0,100.0,87.46651750972762,100.0,3G
17,20230312,OCI0017,0.0,100.0,89.58868217054264,100.0,3G
18,20230312,OCI0018,0.0,100.0,90.47056201550387,100.0,3G
19,20230312,OCI0019,0.0,100.0,88.8631976744186,100.0,3G
20,20230312,OCI0020,0.0,100.0,99.00443798449612,100.0,3G
21,20230312,OCI0021,0.0,100.0,74.4837015503876,100.0,3G
22,20230312,OCI0022,0.0,100.0,90.06372093023256,100.0,3G
23,20230312,OCI0023,0.0,100.0,93.1270542635659,100.0,3G
24,20230312,OCI0024,0.0,100.0,70.92186046511628,100.0,3G
25,20230312,OCI0025,96.28,100.0,99.89248062015504,100.0,3G
26,20230312,OCI0026,97.16,100.0,99.91062015503876,100.0,3G
27,20230312,OCI0028,0.0,100.0,88.53823643410853,100.0,3G
28,20230312,OCI0029,89.12,100.0,99.6854457364341,100.0,3G
29,20230312,OCI0030,0.0,100.0,99.6672480620155,100.0,3G
30,20230312,OCI0031,86.81,100.86,99.60850775193798,100.0,3G
31,20230312,OCI0033,0.0,100.0,99.47738372093023,100.0,3G
32,20230312,OCI0035,0.0,100.0,88.97193798449612,100.0,3G
33,20230312,OCI0036,0.0,100.0,99.15375968992248,100.0,3G
34,20230312,OCI0037,0.0,100.0,95.08465116279069,100.0,3G
35,20230312,OCI0038,0.0,100.0,97.91255813953488,100.0,3G
36,20230312,OCI0039,0.0,100.0,97.36259689922481,100.0,3G
37,20230312,OCI0041,0.0,100.0,99.15242248062016,100.0,3G
38,20230312,OCI0042,98.48,100.0,99.95451550387597,100.0,3G
39,20230312,OCI0043,0.0,100.0,93.04511627906977,100.0,3G
40,20230312,OCI0044,0.0,100.0,98.80587209302325,100.0,3G
41,20230312,OCI0045,0.0,100.0,97.1001550387597,100.0,3G
42,20230312,OCI0046,0.0,100.0,93.50503875968992,100.0,3G
43,20230312,OCI0047,0.0,100.0,91.41937984496124,100.0,3G
44,20230312,OCI0048,0.0,100.0,65.21094488188976,100.0,3G
45,20230312,OCI0049,0.0,100.0,92.3771511627907,100.0,3G
46,20230312,OCI0050,0.0,100.0,98.3477519379845,100.0,3G
47,20230312,OCI0051,99.08,100.0,99.95321705426356,100.0,3G
48,20230312,OCI0052,0.0,100.0,90.44308139534884,100.0,3G
49,20230312,OCI0053,96.08,100.0,99.91356589147287,100.0,3G
50,20230312,OCI0054,0.0,100.0,99.34197674418604,100.0,3G
51,20230312,OCI0055,0.0,100.0,66.1693023255814,100.0,3G
52,20230312,OCI0056,98.33,100.0,99.82604651162791,100.0,3G
53,20230312,OCI0057,0.0,100.0,99.03651162790698,100.0,3G
