,date_jour,code_site,number_of_call_drop_3g,techno
0,20230112,0,186,3G
1,20230112,OCI0001,78,3G
2,20230112,OCI0002,11,3G
3,20230112,OCI0003,14,3G
4,20230112,OCI0004,58,3G
5,20230112,OCI0005,23,3G
6,20230112,OCI0006,11,3G
7,20230112,OCI0007,18,3G
8,20230112,OCI0008,23,3G
9,20230112,OCI0009,58,3G
10,20230112,OCI0010,39,3G
11,20230112,OCI0011,33,3G
12,20230112,OCI0012,43,3G
13,20230112,OCI0013,29,3G
14,20230112,OCI0014,21,3G
15,20230112,OCI0015,35,3G
16,20230112,OCI0016,101,3G
17,20230112,OCI0017,38,3G
18,20230112,OCI0018,44,3G
19,20230112,OCI0019,59,3G
20,20230112,OCI0020,94,3G
21,20230112,OCI0021,59,3G
22,20230112,OCI0022,28,3G
23,20230112,OCI0023,30,3G
24,20230112,OCI0024,12,3G
25,20230112,OCI0025,144,3G
26,20230112,OCI0026,104,3G
27,20230112,OCI0028,126,3G
28,20230112,OCI0029,73,3G
29,20230112,OCI0030,56,3G
30,20230112,OCI0031,26,3G
31,20230112,OCI0033,62,3G
32,20230112,OCI0035,16,3G
33,20230112,OCI0036,44,3G
34,20230112,OCI0037,42,3G
35,20230112,OCI0038,232,3G
36,20230112,OCI0039,14,3G
37,20230112,OCI0041,47,3G
38,20230112,OCI0042,61,3G
39,20230112,OCI0043,23,3G
40,20230112,OCI0044,36,3G
41,20230112,OCI0045,31,3G
42,20230112,OCI0046,21,3G
43,20230112,OCI0047,7,3G
44,20230112,OCI0048,29,3G
45,20230112,OCI0049,27,3G
46,20230112,OCI0050,17,3G
47,20230112,OCI0051,15,3G
48,20230112,OCI0052,46,3G
49,20230112,OCI0053,31,3G
50,20230112,OCI0054,29,3G
51,20230112,OCI0055,6,3G
52,20230112,OCI0056,174,3G
53,20230112,OCI0057,138,3G
54,20230112,OCI0058,8,3G
55,20230112,OCI0059,58,3G
56,20230112,OCI0060,19,3G
57,20230112,OCI0061,20,3G
58,20230112,OCI0062,3,3G
59,20230112,OCI0063,27,3G
60,20230112,OCI0064,18,3G
61,20230112,OCI0065,7,3G
62,20230112,OCI0066,3,3G
63,20230112,OCI0067,18,3G
64,20230112,OCI0068,362,3G
65,20230112,OCI0069,23,3G
66,20230112,OCI0070,38,3G
67,20230112,OCI0071,22,3G
68,20230112,OCI0072,35,3G
69,20230112,OCI0073,25,3G
70,20230112,OCI0074,2,3G
71,20230112,OCI0075,151,3G
72,20230112,OCI0076,287,3G
73,20230112,OCI0077,59,3G
74,20230112,OCI0078,15,3G
75,20230112,OCI0080,6,3G
76,20230112,OCI0081,62,3G
77,20230112,OCI0083,5,3G
78,20230112,OCI0084,22,3G
79,20230112,OCI0085,4,3G
80,20230112,OCI0086,82,3G
81,20230112,OCI0087,107,3G
82,20230112,OCI0088,35,3G
83,20230112,OCI0089,14,3G
84,20230112,OCI0090,24,3G
85,20230112,OCI0091,5,3G
86,20230112,OCI0092,72,3G
87,20230112,OCI0093,60,3G
88,20230112,OCI0094,50,3G
89,20230112,OCI0095,31,3G
90,20230112,OCI0096,30,3G
91,20230112,OCI0097,8,3G
92,20230112,OCI0098,27,3G
93,20230112,OCI0099,27,3G
94,20230112,OCI0100,27,3G
95,20230112,OCI0101,42,3G
96,20230112,OCI0102,124,3G
97,20230112,OCI0104,45,3G
98,20230112,OCI0105,37,3G
99,20230112,OCI0106,23,3G
100,20230112,OCI0107,8,3G
101,20230112,OCI0108,16,3G
102,20230112,OCI0109,4,3G
103,20230112,OCI0110,5,3G
104,20230112,OCI0111,19,3G
105,20230112,OCI0112,34,3G
106,20230112,OCI0113,26,3G
107,20230112,OCI0114,33,3G
108,20230112,OCI0115,21,3G
109,20230112,OCI0116,26,3G
110,20230112,OCI0117,5,3G
111,20230112,OCI0118,38,3G
112,20230112,OCI0119,27,3G
113,20230112,OCI0121,1,3G
114,20230112,OCI0122,30,3G
115,20230112,OCI0123,42,3G
116,20230112,OCI0124,214,3G
117,20230112,OCI0125,17,3G
118,20230112,OCI0127,21,3G
119,20230112,OCI0128,22,3G
120,20230112,OCI0129,74,3G
121,20230112,OCI0130,18,3G
122,20230112,OCI0132,7,3G
123,20230112,OCI0134,27,3G
124,20230112,OCI0135,56,3G
125,20230112,OCI0136,55,3G
126,20230112,OCI0137,49,3G
127,20230112,OCI0138,37,3G
128,20230112,OCI0139,34,3G
129,20230112,OCI0141,5,3G
130,20230112,OCI0142,96,3G
131,20230112,OCI0143,78,3G
132,20230112,OCI0144,11,3G
133,20230112,OCI0145,1,3G
134,20230112,OCI0146,42,3G
135,20230112,OCI0147,97,3G
136,20230112,OCI0148,21,3G
137,20230112,OCI0149,16,3G
138,20230112,OCI0150,34,3G
139,20230112,OCI0151,4,3G
140,20230112,OCI0152,30,3G
141,20230112,OCI0153,17,3G
142,20230112,OCI0154,4,3G
143,20230112,OCI0155,50,3G
144,20230112,OCI0156,9,3G
145,20230112,OCI0157,15,3G
146,20230112,OCI0158,17,3G
147,20230112,OCI0159,44,3G
148,20230112,OCI0160,14,3G
149,20230112,OCI0161,37,3G
150,20230112,OCI0162,18,3G
151,20230112,OCI0163,114,3G
152,20230112,OCI0164,7,3G
153,20230112,OCI0165,15,3G
154,20230112,OCI0166,17,3G
155,20230112,OCI0167,27,3G
156,20230112,OCI0168,68,3G
157,20230112,OCI0169,66,3G
158,20230112,OCI0172,15,3G
159,20230112,OCI0173,34,3G
160,20230112,OCI0174,23,3G
161,20230112,OCI0175,47,3G
162,20230112,OCI0176,21,3G
163,20230112,OCI0177,13,3G
164,20230112,OCI0178,14,3G
165,20230112,OCI0179,32,3G
166,20230112,OCI0180,59,3G
167,20230112,OCI0181,74,3G
168,20230112,OCI0182,39,3G
169,20230112,OCI0183,29,3G
170,20230112,OCI0184,21,3G
171,20230112,OCI0185,25,3G
172,20230112,OCI0186,38,3G
173,20230112,OCI0187,28,3G
174,20230112,OCI0188,11,3G
175,20230112,OCI0189,35,3G
176,20230112,OCI0190,272,3G
177,20230112,OCI0191,31,3G
178,20230112,OCI0192,78,3G
179,20230112,OCI0193,53,3G
180,20230112,OCI0194,16,3G
181,20230112,OCI0195,7,3G
182,20230112,OCI0196,86,3G
183,20230112,OCI0197,34,3G
184,20230112,OCI0198,57,3G
185,20230112,OCI0199,19,3G
186,20230112,OCI0200,7,3G
187,20230112,OCI0201,17,3G
188,20230112,OCI0202,6,3G
189,20230112,OCI0203,54,3G
190,20230112,OCI0204,17,3G
191,20230112,OCI0205,24,3G
192,20230112,OCI0206,46,3G
193,20230112,OCI0207,70,3G
194,20230112,OCI0208,7,3G
195,20230112,OCI0209,205,3G
196,20230112,OCI0210,28,3G
197,20230112,OCI0211,58,3G
198,20230112,OCI0212,14,3G
199,20230112,OCI0213,23,3G
200,20230112,OCI0214,5,3G
201,20230112,OCI0216,43,3G
202,20230112,OCI0219,57,3G
203,20230112,OCI0220,16,3G
204,20230112,OCI0221,25,3G
205,20230112,OCI0222,1,3G
206,20230112,OCI0223,6,3G
207,20230112,OCI0224,25,3G
208,20230112,OCI0225,87,3G
209,20230112,OCI0226,42,3G
210,20230112,OCI0227,15,3G
211,20230112,OCI0228,105,3G
212,20230112,OCI0229,1,3G
213,20230112,OCI0230,36,3G
214,20230112,OCI0231,16,3G
215,20230112,OCI0232,15,3G
216,20230112,OCI0233,53,3G
217,20230112,OCI0234,16,3G
218,20230112,OCI0235,33,3G
219,20230112,OCI0236,24,3G
220,20230112,OCI0237,45,3G
221,20230112,OCI0238,19,3G
222,20230112,OCI0239,24,3G
223,20230112,OCI0240,57,3G
224,20230112,OCI0241,12,3G
225,20230112,OCI0242,70,3G
226,20230112,OCI0243,30,3G
227,20230112,OCI0244,39,3G
228,20230112,OCI0245,28,3G
229,20230112,OCI0246,4,3G
230,20230112,OCI0247,37,3G
231,20230112,OCI0248,25,3G
232,20230112,OCI0249,13,3G
233,20230112,OCI0250,10,3G
234,20230112,OCI0251,19,3G
235,20230112,OCI0252,10,3G
236,20230112,OCI0253,14,3G
237,20230112,OCI0254,8,3G
238,20230112,OCI0255,60,3G
239,20230112,OCI0256,18,3G
240,20230112,OCI0257,49,3G
241,20230112,OCI0258,16,3G
242,20230112,OCI0259,131,3G
243,20230112,OCI0260,40,3G
244,20230112,OCI0261,6,3G
245,20230112,OCI0262,1,3G
246,20230112,OCI0263,66,3G
247,20230112,OCI0264,55,3G
248,20230112,OCI0265,17,3G
249,20230112,OCI0266,35,3G
250,20230112,OCI0267,38,3G
251,20230112,OCI0268,16,3G
252,20230112,OCI0269,8,3G
253,20230112,OCI0270,43,3G
254,20230112,OCI0271,40,3G
255,20230112,OCI0272,14,3G
256,20230112,OCI0273,34,3G
257,20230112,OCI0274,109,3G
258,20230112,OCI0275,25,3G
259,20230112,OCI0276,26,3G
260,20230112,OCI0277,5,3G
261,20230112,OCI0278,2,3G
262,20230112,OCI0279,48,3G
263,20230112,OCI0280,23,3G
264,20230112,OCI0281,66,3G
265,20230112,OCI0282,23,3G
266,20230112,OCI0283,5,3G
267,20230112,OCI0284,38,3G
268,20230112,OCI0285,61,3G
269,20230112,OCI0286,36,3G
270,20230112,OCI0287,20,3G
271,20230112,OCI0288,42,3G
272,20230112,OCI0291,10,3G
273,20230112,OCI0292,17,3G
274,20230112,OCI0293,27,3G
275,20230112,OCI0294,20,3G
276,20230112,OCI0295,58,3G
277,20230112,OCI0297,107,3G
278,20230112,OCI0298,57,3G
279,20230112,OCI0299,17,3G
280,20230112,OCI0300,31,3G
281,20230112,OCI0301,93,3G
282,20230112,OCI0302,20,3G
283,20230112,OCI0303,72,3G
284,20230112,OCI0304,27,3G
285,20230112,OCI0305,9,3G
286,20230112,OCI0306,37,3G
287,20230112,OCI0307,59,3G
288,20230112,OCI0308,22,3G
289,20230112,OCI0309,37,3G
290,20230112,OCI0311,75,3G
291,20230112,OCI0312,28,3G
292,20230112,OCI0313,13,3G
293,20230112,OCI0314,10,3G
294,20230112,OCI0315,51,3G
295,20230112,OCI0316,28,3G
296,20230112,OCI0317,89,3G
297,20230112,OCI0319,15,3G
298,20230112,OCI0320,55,3G
299,20230112,OCI0321,72,3G
300,20230112,OCI0322,42,3G
301,20230112,OCI0323,185,3G
302,20230112,OCI0324,12,3G
303,20230112,OCI0325,27,3G
304,20230112,OCI0326,34,3G
305,20230112,OCI0327,16,3G
306,20230112,OCI0328,26,3G
307,20230112,OCI0329,43,3G
308,20230112,OCI0330,43,3G
309,20230112,OCI0331,60,3G
310,20230112,OCI0332,17,3G
311,20230112,OCI0333,14,3G
312,20230112,OCI0334,34,3G
313,20230112,OCI0335,45,3G
314,20230112,OCI0336,15,3G
315,20230112,OCI0337,37,3G
316,20230112,OCI0338,8,3G
317,20230112,OCI0339,37,3G
318,20230112,OCI0341,34,3G
319,20230112,OCI0342,36,3G
320,20230112,OCI0343,19,3G
321,20230112,OCI0344,82,3G
322,20230112,OCI0345,18,3G
323,20230112,OCI0347,20,3G
324,20230112,OCI0348,28,3G
