,date_jour,code_site,number_of_call_drop_3g,techno
0,20230125,0,876,3G
1,20230125,OCI0001,7436,3G
2,20230125,OCI0002,58,3G
3,20230125,OCI0003,104,3G
4,20230125,OCI0004,256,3G
5,20230125,OCI0005,76,3G
6,20230125,OCI0006,90,3G
7,20230125,OCI0007,184,3G
8,20230125,OCI0008,112,3G
9,20230125,OCI0009,356,3G
10,20230125,OCI0010,88,3G
11,20230125,OCI0011,198,3G
12,20230125,OCI0012,42,3G
13,20230125,OCI0013,112,3G
14,20230125,OCI0014,100,3G
15,20230125,OCI0015,196,3G
16,20230125,OCI0016,304,3G
17,20230125,OCI0017,206,3G
18,20230125,OCI0018,228,3G
19,20230125,OCI0019,376,3G
20,20230125,OCI0020,816,3G
21,20230125,OCI0021,204,3G
22,20230125,OCI0022,148,3G
23,20230125,OCI0023,120,3G
24,20230125,OCI0024,20,3G
25,20230125,OCI0025,778,3G
26,20230125,OCI0026,1260,3G
27,20230125,OCI0028,122,3G
28,20230125,OCI0029,452,3G
29,20230125,OCI0030,218,3G
30,20230125,OCI0031,246,3G
31,20230125,OCI0033,424,3G
32,20230125,OCI0035,46,3G
33,20230125,OCI0036,146,3G
34,20230125,OCI0037,192,3G
35,20230125,OCI0038,728,3G
36,20230125,OCI0039,56,3G
37,20230125,OCI0041,236,3G
38,20230125,OCI0042,168,3G
39,20230125,OCI0043,260,3G
40,20230125,OCI0044,58,3G
41,20230125,OCI0045,72,3G
42,20230125,OCI0046,80,3G
43,20230125,OCI0047,26,3G
44,20230125,OCI0048,68,3G
45,20230125,OCI0049,244,3G
46,20230125,OCI0050,90,3G
47,20230125,OCI0051,78,3G
48,20230125,OCI0052,226,3G
49,20230125,OCI0053,68,3G
50,20230125,OCI0054,72,3G
51,20230125,OCI0055,50,3G
52,20230125,OCI0056,472,3G
53,20230125,OCI0057,96,3G
54,20230125,OCI0058,34,3G
55,20230125,OCI0059,252,3G
56,20230125,OCI0060,94,3G
57,20230125,OCI0061,70,3G
58,20230125,OCI0062,20,3G
59,20230125,OCI0063,86,3G
60,20230125,OCI0064,82,3G
61,20230125,OCI0065,122,3G
62,20230125,OCI0066,30,3G
63,20230125,OCI0067,64,3G
64,20230125,OCI0068,1470,3G
65,20230125,OCI0069,114,3G
66,20230125,OCI0070,174,3G
67,20230125,OCI0071,104,3G
68,20230125,OCI0072,88,3G
69,20230125,OCI0073,152,3G
70,20230125,OCI0074,22,3G
71,20230125,OCI0075,424,3G
72,20230125,OCI0076,1172,3G
73,20230125,OCI0077,258,3G
74,20230125,OCI0078,56,3G
75,20230125,OCI0080,40,3G
76,20230125,OCI0081,228,3G
77,20230125,OCI0083,40,3G
78,20230125,OCI0084,94,3G
79,20230125,OCI0085,32,3G
80,20230125,OCI0086,320,3G
81,20230125,OCI0087,870,3G
82,20230125,OCI0088,134,3G
83,20230125,OCI0089,78,3G
84,20230125,OCI0090,156,3G
85,20230125,OCI0091,24,3G
86,20230125,OCI0092,264,3G
87,20230125,OCI0093,84,3G
88,20230125,OCI0094,512,3G
89,20230125,OCI0095,84,3G
90,20230125,OCI0096,194,3G
91,20230125,OCI0097,50,3G
92,20230125,OCI0098,86,3G
93,20230125,OCI0099,110,3G
94,20230125,OCI0100,138,3G
95,20230125,OCI0101,228,3G
96,20230125,OCI0102,516,3G
97,20230125,OCI0104,118,3G
98,20230125,OCI0105,202,3G
99,20230125,OCI0106,120,3G
100,20230125,OCI0107,18,3G
101,20230125,OCI0108,86,3G
102,20230125,OCI0109,26,3G
103,20230125,OCI0110,24,3G
104,20230125,OCI0111,88,3G
105,20230125,OCI0112,92,3G
106,20230125,OCI0113,60,3G
107,20230125,OCI0114,158,3G
108,20230125,OCI0115,156,3G
109,20230125,OCI0116,144,3G
110,20230125,OCI0117,24,3G
111,20230125,OCI0118,122,3G
112,20230125,OCI0119,52,3G
113,20230125,OCI0121,12,3G
114,20230125,OCI0122,86,3G
115,20230125,OCI0123,166,3G
116,20230125,OCI0124,352,3G
117,20230125,OCI0125,32,3G
118,20230125,OCI0127,94,3G
119,20230125,OCI0128,128,3G
120,20230125,OCI0129,720,3G
121,20230125,OCI0130,112,3G
122,20230125,OCI0132,44,3G
123,20230125,OCI0134,126,3G
124,20230125,OCI0135,250,3G
125,20230125,OCI0136,206,3G
126,20230125,OCI0137,268,3G
127,20230125,OCI0138,146,3G
128,20230125,OCI0139,134,3G
129,20230125,OCI0141,36,3G
130,20230125,OCI0142,232,3G
131,20230125,OCI0143,264,3G
132,20230125,OCI0144,72,3G
133,20230125,OCI0145,20,3G
134,20230125,OCI0146,188,3G
135,20230125,OCI0147,202,3G
136,20230125,OCI0148,116,3G
137,20230125,OCI0149,116,3G
138,20230125,OCI0150,60,3G
139,20230125,OCI0151,26,3G
140,20230125,OCI0152,144,3G
141,20230125,OCI0153,112,3G
142,20230125,OCI0154,38,3G
143,20230125,OCI0155,256,3G
144,20230125,OCI0156,28,3G
145,20230125,OCI0157,70,3G
146,20230125,OCI0158,72,3G
147,20230125,OCI0159,218,3G
148,20230125,OCI0160,76,3G
149,20230125,OCI0161,100,3G
150,20230125,OCI0162,90,3G
151,20230125,OCI0163,390,3G
152,20230125,OCI0164,26,3G
153,20230125,OCI0165,72,3G
154,20230125,OCI0166,106,3G
155,20230125,OCI0167,50,3G
156,20230125,OCI0168,240,3G
157,20230125,OCI0169,174,3G
158,20230125,OCI0172,36,3G
159,20230125,OCI0173,216,3G
160,20230125,OCI0174,84,3G
161,20230125,OCI0175,166,3G
162,20230125,OCI0176,108,3G
163,20230125,OCI0177,20,3G
164,20230125,OCI0178,66,3G
165,20230125,OCI0179,128,3G
166,20230125,OCI0180,182,3G
167,20230125,OCI0181,290,3G
168,20230125,OCI0182,200,3G
169,20230125,OCI0183,142,3G
170,20230125,OCI0184,88,3G
171,20230125,OCI0185,96,3G
172,20230125,OCI0186,226,3G
173,20230125,OCI0187,170,3G
174,20230125,OCI0188,54,3G
175,20230125,OCI0189,130,3G
176,20230125,OCI0190,1382,3G
177,20230125,OCI0191,212,3G
178,20230125,OCI0192,246,3G
179,20230125,OCI0193,206,3G
180,20230125,OCI0194,76,3G
181,20230125,OCI0195,54,3G
182,20230125,OCI0196,350,3G
183,20230125,OCI0197,90,3G
184,20230125,OCI0198,192,3G
185,20230125,OCI0199,82,3G
186,20230125,OCI0200,60,3G
187,20230125,OCI0201,44,3G
188,20230125,OCI0202,54,3G
189,20230125,OCI0203,148,3G
190,20230125,OCI0204,102,3G
191,20230125,OCI0205,46,3G
192,20230125,OCI0206,142,3G
193,20230125,OCI0207,318,3G
194,20230125,OCI0208,54,3G
195,20230125,OCI0209,1236,3G
196,20230125,OCI0210,98,3G
197,20230125,OCI0211,232,3G
198,20230125,OCI0212,54,3G
199,20230125,OCI0213,78,3G
200,20230125,OCI0214,6,3G
201,20230125,OCI0216,234,3G
202,20230125,OCI0219,246,3G
203,20230125,OCI0220,56,3G
204,20230125,OCI0221,136,3G
205,20230125,OCI0222,16,3G
206,20230125,OCI0223,10,3G
207,20230125,OCI0224,86,3G
208,20230125,OCI0225,276,3G
209,20230125,OCI0226,118,3G
210,20230125,OCI0227,88,3G
211,20230125,OCI0228,376,3G
212,20230125,OCI0229,46,3G
213,20230125,OCI0230,426,3G
214,20230125,OCI0231,140,3G
215,20230125,OCI0232,74,3G
216,20230125,OCI0233,448,3G
217,20230125,OCI0234,66,3G
218,20230125,OCI0235,84,3G
219,20230125,OCI0236,118,3G
