,date_jour,code_site,number_of_call_drop_3g,techno
0,20230123,0,657,3G
1,20230123,OCI0001,400,3G
2,20230123,OCI0002,72,3G
3,20230123,OCI0003,62,3G
4,20230123,OCI0004,275,3G
5,20230123,OCI0005,74,3G
6,20230123,OCI0006,54,3G
7,20230123,OCI0007,78,3G
8,20230123,OCI0008,105,3G
9,20230123,OCI0009,318,3G
10,20230123,OCI0010,92,3G
11,20230123,OCI0011,208,3G
12,20230123,OCI0012,39,3G
13,20230123,OCI0013,91,3G
14,20230123,OCI0014,84,3G
15,20230123,OCI0015,173,3G
16,20230123,OCI0016,294,3G
17,20230123,OCI0017,101,3G
18,20230123,OCI0018,145,3G
19,20230123,OCI0019,195,3G
20,20230123,OCI0020,258,3G
21,20230123,OCI0021,184,3G
22,20230123,OCI0022,108,3G
23,20230123,OCI0023,93,3G
24,20230123,OCI0024,39,3G
25,20230123,OCI0025,780,3G
26,20230123,OCI0026,411,3G
27,20230123,OCI0028,80,3G
28,20230123,OCI0029,397,3G
29,20230123,OCI0030,237,3G
30,20230123,OCI0031,243,3G
31,20230123,OCI0033,452,3G
32,20230123,OCI0035,36,3G
33,20230123,OCI0036,179,3G
34,20230123,OCI0037,103,3G
35,20230123,OCI0038,681,3G
36,20230123,OCI0039,26,3G
37,20230123,OCI0041,239,3G
38,20230123,OCI0042,122,3G
39,20230123,OCI0043,79,3G
40,20230123,OCI0044,49,3G
41,20230123,OCI0045,95,3G
42,20230123,OCI0046,58,3G
43,20230123,OCI0047,13,3G
44,20230123,OCI0048,98,3G
45,20230123,OCI0049,159,3G
46,20230123,OCI0050,62,3G
47,20230123,OCI0051,58,3G
48,20230123,OCI0052,194,3G
49,20230123,OCI0053,108,3G
50,20230123,OCI0054,65,3G
51,20230123,OCI0055,29,3G
52,20230123,OCI0056,514,3G
53,20230123,OCI0057,192,3G
54,20230123,OCI0058,17,3G
55,20230123,OCI0059,240,3G
56,20230123,OCI0060,108,3G
57,20230123,OCI0061,83,3G
58,20230123,OCI0062,12,3G
59,20230123,OCI0063,88,3G
60,20230123,OCI0064,93,3G
61,20230123,OCI0065,62,3G
62,20230123,OCI0066,33,3G
63,20230123,OCI0067,53,3G
64,20230123,OCI0068,1719,3G
