,date_jour,code_site,min_cssr_cs,max_cssr_cs,avg_cssr_cs,median_cssr_cs,techno
0,20230115,0,0.0,0.0,0.0,0.0,3G
1,20230115,OCI0001,0.0,100.0,96.50733333333334,100.0,3G
2,20230115,OCI0002,98.55,100.0,99.9415,100.0,3G
3,20230115,OCI0003,98.61,100.0,99.90383333333334,100.0,3G
4,20230115,OCI0004,99.42,100.0,99.9125,100.0,3G
5,20230115,OCI0005,98.49,100.0,99.874,100.0,3G
6,20230115,OCI0006,99.04,100.0,99.8935,100.0,3G
7,20230115,OCI0007,97.83,100.0,99.934,100.0,3G
8,20230115,OCI0008,0.0,100.0,91.527,100.0,3G
9,20230115,OCI0009,99.25,100.0,99.8975,100.0,3G
10,20230115,OCI0010,98.92,100.0,99.7855,100.0,3G
11,20230115,OCI0011,92.86,100.0,99.75166666666667,100.0,3G
12,20230115,OCI0012,0.0,100.0,93.30666666666667,100.0,3G
13,20230115,OCI0013,90.0,100.0,99.74916666666667,100.0,3G
14,20230115,OCI0014,98.41,100.0,99.88033333333334,100.0,3G
15,20230115,OCI0015,98.61,100.0,99.82966666666667,100.0,3G
16,20230115,OCI0016,0.0,100.0,89.862,100.0,3G
17,20230115,OCI0017,99.55,100.0,99.97,100.0,3G
18,20230115,OCI0018,0.0,100.0,96.47833333333334,100.0,3G
19,20230115,OCI0019,0.0,100.0,91.20166666666667,100.0,3G
20,20230115,OCI0020,98.9,100.0,99.839,100.0,3G
21,20230115,OCI0021,0.0,100.0,83.12066666666666,100.0,3G
22,20230115,OCI0022,0.0,100.0,91.50416666666666,100.0,3G
23,20230115,OCI0023,96.0,100.0,99.414,100.0,3G
24,20230115,OCI0024,0.0,100.0,86.28466666666667,100.0,3G
25,20230115,OCI0025,98.98,100.0,99.86766666666666,100.0,3G
26,20230115,OCI0026,99.05,100.0,99.9345,100.0,3G
27,20230115,OCI0028,0.0,100.0,89.93733333333333,100.0,3G
28,20230115,OCI0029,99.07,100.0,99.84366666666666,100.0,3G
29,20230115,OCI0030,98.93,100.0,99.93816666666666,100.0,3G
30,20230115,OCI0031,97.38,100.0,99.67183333333334,100.0,3G
31,20230115,OCI0033,96.95,100.0,99.68083333333334,100.0,3G
