,date_jour,code_site,min_cssr_cs,max_cssr_cs,avg_cssr_cs,median_cssr_cs,techno
0,20230129,0,0.0,0.0,0.0,0.0,3G
1,20230129,OCI0001,0.0,100.0,93.81037634408602,100.0,3G
2,20230129,OCI0002,0.0,100.0,97.09349462365591,100.0,3G
3,20230129,OCI0003,0.0,100.0,98.80395161290322,100.0,3G
4,20230129,OCI0004,0.0,100.0,99.57682795698925,100.0,3G
5,20230129,OCI0005,0.0,100.0,97.37752688172043,100.0,3G
6,20230129,OCI0006,0.0,100.0,98.48091397849463,100.0,3G
7,20230129,OCI0007,0.0,100.0,99.38693548387097,100.0,3G
8,20230129,OCI0008,0.0,100.0,80.42868279569892,100.0,3G
9,20230129,OCI0009,0.0,100.0,99.02314516129032,100.0,3G
10,20230129,OCI0010,98.18,100.0,99.86126344086021,100.0,3G
11,20230129,OCI0011,0.0,100.0,99.49112903225806,100.0,3G
12,20230129,OCI0012,0.0,100.0,97.7410752688172,100.0,3G
13,20230129,OCI0013,98.82,100.0,99.8697311827957,100.0,3G
14,20230129,OCI0014,98.23,100.0,99.8839247311828,100.0,3G
15,20230129,OCI0015,97.67,100.45,99.84193548387097,100.0,3G
16,20230129,OCI0016,0.0,100.0,88.99905913978495,100.0,3G
17,20230129,OCI0017,0.0,100.0,96.31752688172043,100.0,3G
18,20230129,OCI0018,0.0,100.0,97.19440860215053,100.0,3G
19,20230129,OCI0019,0.0,100.0,84.42148648648649,100.0,3G
20,20230129,OCI0020,0.0,100.0,99.24895161290323,100.0,3G
21,20230129,OCI0021,0.0,100.0,76.64046070460705,100.0,3G
22,20230129,OCI0022,0.0,100.0,96.0252688172043,100.0,3G
23,20230129,OCI0023,0.0,100.0,90.92827956989247,100.0,3G
24,20230129,OCI0024,0.0,100.0,72.14516129032258,98.78,3G
25,20230129,OCI0025,97.72,100.17,99.82215053763441,100.0,3G
26,20230129,OCI0026,98.44,100.0,99.91841397849463,100.0,3G
27,20230129,OCI0028,0.0,100.0,83.38334337349397,100.0,3G
28,20230129,OCI0029,96.71,100.0,99.78215053763441,100.0,3G
29,20230129,OCI0030,97.85,100.0,99.86669354838709,100.0,3G
30,20230129,OCI0031,87.5,100.0,99.68682795698925,100.0,3G
31,20230129,OCI0033,0.0,100.0,98.24034946236559,100.0,3G
32,20230129,OCI0035,0.0,100.0,88.99720430107527,100.0,3G
33,20230129,OCI0036,0.0,100.0,99.6572311827957,100.0,3G
34,20230129,OCI0037,0.0,100.0,89.04236559139785,100.0,3G
35,20230129,OCI0038,0.0,100.0,99.3163440860215,100.0,3G
36,20230129,OCI0039,0.0,100.0,97.55007168458782,100.0,3G
37,20230129,OCI0041,0.0,100.0,98.57228494623656,100.0,3G
38,20230129,OCI0042,96.9,100.0,99.81905913978494,100.0,3G
39,20230129,OCI0043,0.0,100.0,90.28940860215054,100.0,3G
40,20230129,OCI0044,98.53,100.0,99.94940860215054,100.0,3G
41,20230129,OCI0045,0.0,100.0,90.73145552560646,100.0,3G
42,20230129,OCI0046,0.0,100.0,96.56784946236559,100.0,3G
43,20230129,OCI0047,0.0,100.0,88.64752688172042,100.0,3G
44,20230129,OCI0048,0.0,100.0,67.2954945054945,98.73,3G
45,20230129,OCI0049,0.0,100.0,96.52661290322581,100.0,3G
46,20230129,OCI0050,0.0,100.0,97.69698924731183,100.0,3G
47,20230129,OCI0051,0.0,100.0,99.38688172043011,100.0,3G
48,20230129,OCI0052,0.0,100.0,90.50760752688171,100.0,3G
49,20230129,OCI0053,97.62,100.0,99.90736559139785,100.0,3G
50,20230129,OCI0054,0.0,100.0,99.37631720430107,100.0,3G
51,20230129,OCI0055,0.0,100.0,72.18720430107527,100.0,3G
52,20230129,OCI0056,97.62,100.0,99.82779569892473,100.0,3G
53,20230129,OCI0057,96.3,100.0,99.83927419354839,100.0,3G
54,20230129,OCI0058,0.0,100.0,80.8558064516129,100.0,3G
55,20230129,OCI0059,0.0,100.0,88.02155913978494,100.0,3G
56,20230129,OCI0060,0.0,100.0,98.49849462365592,100.0,3G
57,20230129,OCI0061,99.3,100.0,99.97462365591397,100.0,3G
58,20230129,OCI0062,0.0,100.0,92.89215053763441,100.0,3G
59,20230129,OCI0063,0.0,100.0,99.36282258064516,100.0,3G
60,20230129,OCI0064,0.0,100.0,94.2668817204301,100.0,3G
61,20230129,OCI0065,0.0,100.0,95.37247311827957,100.0,3G
