,date_jour,code_site,number_of_call_drop_3g,techno
0,20230209,0,1111,3G
1,20230209,OCI0001,675,3G
2,20230209,OCI0002,147,3G
3,20230209,OCI0003,87,3G
4,20230209,OCI0004,321,3G
5,20230209,OCI0005,195,3G
6,20230209,OCI0006,90,3G
7,20230209,OCI0007,285,3G
8,20230209,OCI0008,204,3G
9,20230209,OCI0009,543,3G
10,20230209,OCI0010,408,3G
11,20230209,OCI0011,381,3G
12,20230209,OCI0012,81,3G
13,20230209,OCI0013,267,3G
14,20230209,OCI0014,165,3G
15,20230209,OCI0015,465,3G
16,20230209,OCI0016,534,3G
17,20230209,OCI0017,213,3G
18,20230209,OCI0018,360,3G
19,20230209,OCI0019,464,3G
20,20230209,OCI0020,603,3G
21,20230209,OCI0021,414,3G
22,20230209,OCI0022,213,3G
23,20230209,OCI0023,150,3G
24,20230209,OCI0024,72,3G
25,20230209,OCI0025,1118,3G
26,20230209,OCI0026,682,3G
27,20230209,OCI0028,483,3G
28,20230209,OCI0029,906,3G
29,20230209,OCI0030,249,3G
30,20230209,OCI0031,1048,3G
31,20230209,OCI0033,195,3G
32,20230209,OCI0035,102,3G
33,20230209,OCI0036,303,3G
34,20230209,OCI0037,273,3G
35,20230209,OCI0038,1269,3G
36,20230209,OCI0039,108,3G
37,20230209,OCI0041,498,3G
38,20230209,OCI0042,369,3G
39,20230209,OCI0043,148,3G
40,20230209,OCI0044,156,3G
41,20230209,OCI0045,159,3G
42,20230209,OCI0046,189,3G
43,20230209,OCI0047,36,3G
44,20230209,OCI0048,102,3G
45,20230209,OCI0049,394,3G
46,20230209,OCI0050,153,3G
47,20230209,OCI0051,192,3G
48,20230209,OCI0052,354,3G
49,20230209,OCI0053,119,3G
50,20230209,OCI0054,114,3G
51,20230209,OCI0055,93,3G
52,20230209,OCI0056,888,3G
53,20230209,OCI0057,462,3G
54,20230209,OCI0058,24,3G
55,20230209,OCI0059,423,3G
56,20230209,OCI0060,183,3G
57,20230209,OCI0061,234,3G
58,20230209,OCI0062,33,3G
59,20230209,OCI0063,354,3G
60,20230209,OCI0064,150,3G
61,20230209,OCI0065,102,3G
62,20230209,OCI0066,66,3G
63,20230209,OCI0067,75,3G
64,20230209,OCI0068,3493,3G
65,20230209,OCI0069,180,3G
66,20230209,OCI0070,876,3G
67,20230209,OCI0071,117,3G
68,20230209,OCI0072,186,3G
69,20230209,OCI0073,213,3G
70,20230209,OCI0074,24,3G
71,20230209,OCI0075,1020,3G
72,20230209,OCI0076,1854,3G
73,20230209,OCI0077,342,3G
74,20230209,OCI0078,120,3G
75,20230209,OCI0080,76,3G
76,20230209,OCI0081,438,3G
77,20230209,OCI0083,21,3G
78,20230209,OCI0084,144,3G
79,20230209,OCI0085,37,3G
80,20230209,OCI0086,483,3G
81,20230209,OCI0087,915,3G
82,20230209,OCI0088,231,3G
83,20230209,OCI0089,103,3G
84,20230209,OCI0090,165,3G
85,20230209,OCI0091,54,3G
86,20230209,OCI0092,336,3G
87,20230209,OCI0093,159,3G
88,20230209,OCI0094,234,3G
89,20230209,OCI0095,192,3G
90,20230209,OCI0096,357,3G
91,20230209,OCI0097,96,3G
92,20230209,OCI0098,213,3G
93,20230209,OCI0099,175,3G
94,20230209,OCI0100,222,3G
95,20230209,OCI0101,324,3G
96,20230209,OCI0102,798,3G
97,20230209,OCI0104,297,3G
98,20230209,OCI0105,507,3G
