,date_jour,code_site,number_of_call_drop_3g,techno
0,20230202,0,1102,3G
1,20230202,OCI0001,484,3G
2,20230202,OCI0002,171,3G
3,20230202,OCI0003,108,3G
4,20230202,OCI0004,219,3G
5,20230202,OCI0005,162,3G
6,20230202,OCI0006,114,3G
7,20230202,OCI0007,239,3G
8,20230202,OCI0008,231,3G
9,20230202,OCI0009,519,3G
10,20230202,OCI0010,213,3G
11,20230202,OCI0011,363,3G
12,20230202,OCI0012,78,3G
13,20230202,OCI0013,240,3G
14,20230202,OCI0014,147,3G
15,20230202,OCI0015,315,3G
16,20230202,OCI0016,479,3G
17,20230202,OCI0017,288,3G
18,20230202,OCI0018,321,3G
19,20230202,OCI0019,558,3G
20,20230202,OCI0020,657,3G
21,20230202,OCI0021,378,3G
22,20230202,OCI0022,234,3G
23,20230202,OCI0023,282,3G
24,20230202,OCI0024,90,3G
25,20230202,OCI0025,1081,3G
26,20230202,OCI0026,486,3G
27,20230202,OCI0028,687,3G
28,20230202,OCI0029,745,3G
29,20230202,OCI0030,261,3G
30,20230202,OCI0031,1023,3G
31,20230202,OCI0033,126,3G
32,20230202,OCI0035,114,3G
33,20230202,OCI0036,270,3G
34,20230202,OCI0037,381,3G
35,20230202,OCI0038,1166,3G
36,20230202,OCI0039,78,3G
37,20230202,OCI0041,378,3G
38,20230202,OCI0042,243,3G
39,20230202,OCI0043,228,3G
40,20230202,OCI0044,105,3G
41,20230202,OCI0045,192,3G
42,20230202,OCI0046,147,3G
43,20230202,OCI0047,12,3G
44,20230202,OCI0048,93,3G
45,20230202,OCI0049,1314,3G
46,20230202,OCI0050,153,3G
47,20230202,OCI0051,102,3G
48,20230202,OCI0052,336,3G
49,20230202,OCI0053,114,3G
50,20230202,OCI0054,164,3G
51,20230202,OCI0055,84,3G
52,20230202,OCI0056,750,3G
53,20230202,OCI0057,423,3G
54,20230202,OCI0058,36,3G
55,20230202,OCI0059,528,3G
56,20230202,OCI0060,135,3G
57,20230202,OCI0061,135,3G
58,20230202,OCI0062,18,3G
59,20230202,OCI0063,195,3G
60,20230202,OCI0064,123,3G
61,20230202,OCI0065,90,3G
62,20230202,OCI0066,78,3G
63,20230202,OCI0067,114,3G
64,20230202,OCI0068,3237,3G
65,20230202,OCI0069,207,3G
66,20230202,OCI0070,2187,3G
67,20230202,OCI0071,111,3G
68,20230202,OCI0072,258,3G
69,20230202,OCI0073,177,3G
70,20230202,OCI0074,18,3G
71,20230202,OCI0075,846,3G
72,20230202,OCI0076,1745,3G
73,20230202,OCI0077,303,3G
74,20230202,OCI0078,69,3G
75,20230202,OCI0080,36,3G
76,20230202,OCI0081,303,3G
