,date_jour,code_site,number_of_call_drop_3g,techno
0,20230212,0,670,3G
1,20230212,OCI0001,438,3G
2,20230212,OCI0002,64,3G
3,20230212,OCI0003,78,3G
4,20230212,OCI0004,280,3G
5,20230212,OCI0005,120,3G
6,20230212,OCI0006,92,3G
7,20230212,OCI0007,124,3G
8,20230212,OCI0008,234,3G
9,20230212,OCI0009,278,3G
10,20230212,OCI0010,222,3G
11,20230212,OCI0011,258,3G
12,20230212,OCI0012,44,3G
13,20230212,OCI0013,174,3G
14,20230212,OCI0014,136,3G
15,20230212,OCI0015,252,3G
16,20230212,OCI0016,480,3G
17,20230212,OCI0017,162,3G
18,20230212,OCI0018,244,3G
19,20230212,OCI0019,306,3G
20,20230212,OCI0020,386,3G
21,20230212,OCI0021,234,3G
22,20230212,OCI0022,116,3G
23,20230212,OCI0023,126,3G
24,20230212,OCI0024,44,3G
25,20230212,OCI0025,758,3G
26,20230212,OCI0026,440,3G
27,20230212,OCI0028,80,3G
28,20230212,OCI0029,506,3G
29,20230212,OCI0030,199,3G
30,20230212,OCI0031,1016,3G
31,20230212,OCI0033,76,3G
32,20230212,OCI0035,78,3G
33,20230212,OCI0036,288,3G
34,20230212,OCI0037,104,3G
35,20230212,OCI0038,1053,3G
36,20230212,OCI0039,36,3G
37,20230212,OCI0041,160,3G
38,20230212,OCI0042,166,3G
39,20230212,OCI0043,150,3G
40,20230212,OCI0044,62,3G
41,20230212,OCI0045,160,3G
42,20230212,OCI0046,144,3G
43,20230212,OCI0047,18,3G
44,20230212,OCI0048,42,3G
45,20230212,OCI0049,203,3G
46,20230212,OCI0050,74,3G
47,20230212,OCI0051,94,3G
48,20230212,OCI0052,184,3G
49,20230212,OCI0053,80,3G
50,20230212,OCI0054,80,3G
51,20230212,OCI0055,52,3G
52,20230212,OCI0056,636,3G
53,20230212,OCI0057,304,3G
54,20230212,OCI0058,26,3G
55,20230212,OCI0059,358,3G
56,20230212,OCI0060,80,3G
57,20230212,OCI0061,126,3G
58,20230212,OCI0062,17,3G
59,20230212,OCI0063,224,3G
60,20230212,OCI0064,84,3G
61,20230212,OCI0065,76,3G
62,20230212,OCI0066,36,3G
63,20230212,OCI0067,40,3G
64,20230212,OCI0068,1710,3G
65,20230212,OCI0069,70,3G
66,20230212,OCI0070,120,3G
67,20230212,OCI0071,90,3G
68,20230212,OCI0072,106,3G
69,20230212,OCI0073,114,3G
70,20230212,OCI0074,12,3G
71,20230212,OCI0075,482,3G
72,20230212,OCI0076,1624,3G
73,20230212,OCI0077,256,3G
74,20230212,OCI0078,88,3G
75,20230212,OCI0080,26,3G
76,20230212,OCI0081,332,3G
77,20230212,OCI0083,36,3G
78,20230212,OCI0084,114,3G
79,20230212,OCI0085,42,3G
80,20230212,OCI0086,844,3G
81,20230212,OCI0087,756,3G
82,20230212,OCI0088,170,3G
83,20230212,OCI0089,88,3G
84,20230212,OCI0090,20,3G
85,20230212,OCI0091,32,3G
86,20230212,OCI0092,284,3G
87,20230212,OCI0093,104,3G
88,20230212,OCI0094,184,3G
89,20230212,OCI0095,122,3G
90,20230212,OCI0096,232,3G
91,20230212,OCI0097,56,3G
92,20230212,OCI0098,129,3G
93,20230212,OCI0099,78,3G
94,20230212,OCI0100,172,3G
95,20230212,OCI0101,210,3G
96,20230212,OCI0102,440,3G
97,20230212,OCI0104,202,3G
98,20230212,OCI0105,244,3G
99,20230212,OCI0106,132,3G
100,20230212,OCI0107,16,3G
101,20230212,OCI0108,70,3G
102,20230212,OCI0109,24,3G
103,20230212,OCI0110,32,3G
104,20230212,OCI0111,16,3G
105,20230212,OCI0112,170,3G
106,20230212,OCI0113,94,3G
107,20230212,OCI0114,54,3G
108,20230212,OCI0115,121,3G
109,20230212,OCI0116,110,3G
110,20230212,OCI0117,26,3G
111,20230212,OCI0118,118,3G
112,20230212,OCI0119,120,3G
113,20230212,OCI0121,7,3G
114,20230212,OCI0122,160,3G
115,20230212,OCI0123,213,3G
116,20230212,OCI0124,6,3G
117,20230212,OCI0125,44,3G
118,20230212,OCI0127,182,3G
119,20230212,OCI0128,148,3G
120,20230212,OCI0129,568,3G
121,20230212,OCI0130,70,3G
122,20230212,OCI0132,124,3G
123,20230212,OCI0134,164,3G
124,20230212,OCI0135,316,3G
125,20230212,OCI0136,266,3G
126,20230212,OCI0137,274,3G
127,20230212,OCI0138,77,3G
128,20230212,OCI0139,104,3G
129,20230212,OCI0141,32,3G
130,20230212,OCI0142,320,3G
131,20230212,OCI0143,0,3G
132,20230212,OCI0144,50,3G
133,20230212,OCI0145,44,3G
134,20230212,OCI0146,96,3G
135,20230212,OCI0147,224,3G
136,20230212,OCI0148,112,3G
137,20230212,OCI0149,52,3G
138,20230212,OCI0150,72,3G
139,20230212,OCI0151,8,3G
140,20230212,OCI0152,190,3G
141,20230212,OCI0153,107,3G
142,20230212,OCI0154,38,3G
143,20230212,OCI0155,277,3G
144,20230212,OCI0156,46,3G
145,20230212,OCI0157,52,3G
146,20230212,OCI0158,68,3G
147,20230212,OCI0159,164,3G
148,20230212,OCI0160,130,3G
149,20230212,OCI0161,84,3G
150,20230212,OCI0162,138,3G
151,20230212,OCI0163,608,3G
152,20230212,OCI0164,28,3G
153,20230212,OCI0165,53,3G
154,20230212,OCI0166,108,3G
155,20230212,OCI0167,96,3G
156,20230212,OCI0168,252,3G
157,20230212,OCI0169,176,3G
158,20230212,OCI0172,62,3G
159,20230212,OCI0173,245,3G
160,20230212,OCI0174,118,3G
161,20230212,OCI0175,158,3G
162,20230212,OCI0176,130,3G
163,20230212,OCI0177,32,3G
164,20230212,OCI0178,84,3G
165,20230212,OCI0179,114,3G
166,20230212,OCI0180,206,3G
167,20230212,OCI0181,326,3G
168,20230212,OCI0182,204,3G
169,20230212,OCI0183,82,3G
170,20230212,OCI0184,14,3G
171,20230212,OCI0185,116,3G
172,20230212,OCI0186,174,3G
173,20230212,OCI0187,114,3G
174,20230212,OCI0188,68,3G
175,20230212,OCI0189,142,3G
176,20230212,OCI0190,460,3G
177,20230212,OCI0191,460,3G
178,20230212,OCI0192,108,3G
179,20230212,OCI0193,1446,3G
180,20230212,OCI0194,74,3G
181,20230212,OCI0195,40,3G
182,20230212,OCI0196,26,3G
183,20230212,OCI0197,100,3G
184,20230212,OCI0198,158,3G
185,20230212,OCI0199,78,3G
186,20230212,OCI0200,22,3G
187,20230212,OCI0201,42,3G
188,20230212,OCI0202,58,3G
189,20230212,OCI0203,122,3G
190,20230212,OCI0204,72,3G
191,20230212,OCI0205,40,3G
192,20230212,OCI0206,222,3G
193,20230212,OCI0207,288,3G
194,20230212,OCI0208,54,3G
195,20230212,OCI0209,160,3G
196,20230212,OCI0210,88,3G
197,20230212,OCI0211,201,3G
198,20230212,OCI0212,44,3G
199,20230212,OCI0213,97,3G
200,20230212,OCI0214,30,3G
201,20230212,OCI0216,208,3G
202,20230212,OCI0219,352,3G
203,20230212,OCI0220,82,3G
204,20230212,OCI0221,172,3G
205,20230212,OCI0222,8,3G
206,20230212,OCI0223,20,3G
207,20230212,OCI0224,100,3G
208,20230212,OCI0225,504,3G
209,20230212,OCI0226,164,3G
210,20230212,OCI0227,156,3G
211,20230212,OCI0228,566,3G
212,20230212,OCI0229,26,3G
213,20230212,OCI0230,308,3G
214,20230212,OCI0231,72,3G
215,20230212,OCI0232,78,3G
216,20230212,OCI0233,285,3G
217,20230212,OCI0234,48,3G
218,20230212,OCI0235,112,3G
219,20230212,OCI0236,140,3G
220,20230212,OCI0237,186,3G
221,20230212,OCI0238,24,3G
222,20230212,OCI0239,124,3G
223,20230212,OCI0240,138,3G
224,20230212,OCI0241,90,3G
225,20230212,OCI0242,214,3G
226,20230212,OCI0243,212,3G
227,20230212,OCI0244,32,3G
228,20230212,OCI0245,4,3G
229,20230212,OCI0246,46,3G
230,20230212,OCI0247,98,3G
231,20230212,OCI0248,178,3G
232,20230212,OCI0249,48,3G
233,20230212,OCI0250,76,3G
234,20230212,OCI0251,34,3G
235,20230212,OCI0252,36,3G
236,20230212,OCI0253,80,3G
237,20230212,OCI0254,56,3G
238,20230212,OCI0255,296,3G
239,20230212,OCI0256,66,3G
240,20230212,OCI0257,140,3G
241,20230212,OCI0258,124,3G
242,20230212,OCI0259,172,3G
243,20230212,OCI0260,266,3G
244,20230212,OCI0261,144,3G
245,20230212,OCI0262,14,3G
246,20230212,OCI0263,300,3G
247,20230212,OCI0264,206,3G
248,20230212,OCI0265,106,3G
249,20230212,OCI0266,180,3G
250,20230212,OCI0267,152,3G
251,20230212,OCI0268,56,3G
252,20230212,OCI0269,12,3G
253,20230212,OCI0270,178,3G
254,20230212,OCI0271,220,3G
255,20230212,OCI0272,109,3G
256,20230212,OCI0273,136,3G
257,20230212,OCI0274,338,3G
258,20230212,OCI0275,32,3G
259,20230212,OCI0276,142,3G
260,20230212,OCI0277,4,3G
261,20230212,OCI0278,4,3G
262,20230212,OCI0279,24,3G
263,20230212,OCI0280,130,3G
264,20230212,OCI0281,24,3G
265,20230212,OCI0282,66,3G
266,20230212,OCI0283,50,3G
267,20230212,OCI0284,186,3G
268,20230212,OCI0285,248,3G
269,20230212,OCI0286,228,3G
270,20230212,OCI0287,96,3G
271,20230212,OCI0288,182,3G
272,20230212,OCI0291,94,3G
273,20230212,OCI0292,24,3G
274,20230212,OCI0293,94,3G
275,20230212,OCI0294,110,3G
276,20230212,OCI0295,268,3G
277,20230212,OCI0297,1208,3G
278,20230212,OCI0298,198,3G
