,date_jour,code_site,number_of_call_drop_3g,techno
187,20230309,OCI0200,81,3G
188,20230309,OCI0201,28,3G
189,20230309,OCI0202,66,3G
190,20230309,OCI0203,100,3G
191,20230309,OCI0204,62,3G
192,20230309,OCI0205,68,3G
193,20230309,OCI0206,220,3G
194,20230309,OCI0207,313,3G
195,20230309,OCI0208,43,3G
196,20230309,OCI0209,1230,3G
197,20230309,OCI0210,90,3G
198,20230309,OCI0211,173,3G
199,20230309,OCI0212,31,3G
200,20230309,OCI0213,98,3G
201,20230309,OCI0214,13,3G
202,20230309,OCI0216,260,3G
203,20230309,OCI0219,229,3G
204,20230309,OCI0220,74,3G
205,20230309,OCI0221,167,3G
206,20230309,OCI0222,15,3G
207,20230309,OCI0223,16,3G
208,20230309,OCI0224,145,3G
209,20230309,OCI0225,374,3G
210,20230309,OCI0226,201,3G
211,20230309,OCI0227,114,3G
212,20230309,OCI0228,359,3G
213,20230309,OCI0229,20,3G
214,20230309,OCI0230,214,3G
215,20230309,OCI0231,102,3G
216,20230309,OCI0232,42,3G
217,20230309,OCI0233,202,3G
218,20230309,OCI0234,72,3G
219,20230309,OCI0235,76,3G
220,20230309,OCI0236,101,3G
221,20230309,OCI0237,165,3G
222,20230309,OCI0238,18,3G
223,20230309,OCI0239,84,3G
224,20230309,OCI0240,264,3G
225,20230309,OCI0241,122,3G
226,20230309,OCI0242,174,3G
227,20230309,OCI0243,114,3G
228,20230309,OCI0244,83,3G
229,20230309,OCI0245,145,3G
230,20230309,OCI0246,15,3G
231,20230309,OCI0247,117,3G
232,20230309,OCI0248,100,3G
233,20230309,OCI0249,46,3G
234,20230309,OCI0250,66,3G
235,20230309,OCI0251,30,3G
236,20230309,OCI0252,66,3G
237,20230309,OCI0253,34,3G
238,20230309,OCI0254,43,3G
239,20230309,OCI0255,275,3G
240,20230309,OCI0256,95,3G
241,20230309,OCI0257,134,3G
242,20230309,OCI0258,86,3G
243,20230309,OCI0259,257,3G
244,20230309,OCI0260,229,3G
245,20230309,OCI0261,155,3G
246,20230309,OCI0262,19,3G
247,20230309,OCI0263,270,3G
248,20230309,OCI0264,377,3G
249,20230309,OCI0265,138,3G
250,20230309,OCI0266,128,3G
251,20230309,OCI0267,193,3G
252,20230309,OCI0268,49,3G
253,20230309,OCI0269,13,3G
254,20230309,OCI0270,142,3G
255,20230309,OCI0271,166,3G
256,20230309,OCI0272,74,3G
257,20230309,OCI0273,143,3G
258,20230309,OCI0274,244,3G
259,20230309,OCI0275,119,3G
260,20230309,OCI0276,244,3G
261,20230309,OCI0277,8,3G
262,20230309,OCI0278,6,3G
263,20230309,OCI0279,230,3G
264,20230309,OCI0280,257,3G
265,20230309,OCI0281,492,3G
266,20230309,OCI0282,79,3G
267,20230309,OCI0283,28,3G
268,20230309,OCI0284,193,3G
269,20230309,OCI0285,264,3G
270,20230309,OCI0286,170,3G
271,20230309,OCI0287,96,3G
272,20230309,OCI0288,137,3G
273,20230309,OCI0291,64,3G
274,20230309,OCI0292,134,3G
275,20230309,OCI0293,105,3G
276,20230309,OCI0294,152,3G
277,20230309,OCI0295,228,3G
278,20230309,OCI0297,278,3G
279,20230309,OCI0298,212,3G
280,20230309,OCI0299,64,3G
281,20230309,OCI0300,322,3G
282,20230309,OCI0301,268,3G
283,20230309,OCI0302,110,3G
284,20230309,OCI0303,181,3G
285,20230309,OCI0304,104,3G
286,20230309,OCI0305,55,3G
287,20230309,OCI0306,185,3G
288,20230309,OCI0307,282,3G
289,20230309,OCI0308,350,3G
290,20230309,OCI0309,120,3G
291,20230309,OCI0311,1336,3G
292,20230309,OCI0312,171,3G
293,20230309,OCI0313,196,3G
