,date_jour,code_site,min_cssr_cs,max_cssr_cs,avg_cssr_cs,median_cssr_cs,techno
0,20230125,-1,,,,,2G
1,20230125,OCI0001,0.0,100.0,94.3728125,99.6,2G
2,20230125,OCI0002,0.0,100.0,91.8615037593985,100.0,2G
3,20230125,OCI0003,99.1,100.0,99.951,100.0,2G
4,20230125,OCI0004,0.0,100.0,96.92994360902256,100.0,2G
5,20230125,OCI0005,0.0,100.0,88.31312030075188,100.0,2G
6,20230125,OCI0006,0.0,100.0,91.17735074626866,100.0,2G
7,20230125,OCI0007,0.0,100.0,92.35418287937743,100.0,2G
8,20230125,OCI0008,0.0,100.0,86.24741176470589,100.0,2G
9,20230125,OCI0009,0.0,100.0,91.8812382739212,100.0,2G
10,20230125,OCI0010,0.0,100.0,91.50421052631579,100.0,2G
11,20230125,OCI0011,0.0,100.0,91.5705223880597,100.0,2G
12,20230125,OCI0012,0.0,100.0,91.76,100.0,2G
13,20230125,OCI0013,0.0,101.75,97.70759328358209,100.0,2G
14,20230125,OCI0014,0.0,100.0,91.78189944134078,100.0,2G
15,20230125,OCI0015,0.0,100.0,94.52777777777777,100.0,2G
16,20230125,OCI0016,0.0,100.0,93.94933712121212,99.98,2G
17,20230125,OCI0017,0.0,100.0,88.31265503875969,100.0,2G
18,20230125,OCI0018,0.0,100.0,89.99477611940299,99.6,2G
19,20230125,OCI0019,0.0,100.0,98.27559845559846,99.915,2G
20,20230125,OCI0020,0.0,100.0,92.07097744360902,100.0,2G
21,20230125,OCI0021,0.0,100.0,93.85448015122873,100.0,2G
22,20230125,OCI0022,0.0,100.0,94.681328125,100.0,2G
23,20230125,OCI0023,0.0,100.0,98.30853174603175,99.57,2G
24,20230125,OCI0024,0.0,100.0,88.58621848739496,100.0,2G
25,20230125,OCI0025,0.0,100.0,99.1997962962963,100.0,2G
26,20230125,OCI0026,0.0,100.0,96.9187786259542,99.47,2G
27,20230125,OCI0027,,,,,2G
28,20230125,OCI0028,0.0,100.0,90.98427756653993,99.98,2G
29,20230125,OCI0029,0.0,100.0,92.86078212290502,100.0,2G
30,20230125,OCI0030,0.0,100.0,91.0722962962963,100.0,2G
31,20230125,OCI0031,0.0,100.0,94.40867424242424,100.0,2G
32,20230125,OCI0032,0.0,100.0,86.12674556213018,100.0,2G
33,20230125,OCI0033,0.0,100.0,91.33223264540338,100.0,2G
34,20230125,OCI0034,0.0,100.0,94.44444444444444,100.0,2G
35,20230125,OCI0035,0.0,100.0,94.97161825726141,100.0,2G
36,20230125,OCI0036,0.0,100.0,97.28088461538462,100.0,2G
37,20230125,OCI0037,0.0,100.0,98.49022222222223,100.0,2G
38,20230125,OCI0038,0.0,100.0,95.60818181818182,100.0,2G
39,20230125,OCI0039,0.0,100.0,92.10533582089552,100.0,2G
40,20230125,OCI0041,0.0,100.0,88.99102079395085,100.0,2G
41,20230125,OCI0042,0.0,100.0,92.18118518518519,100.0,2G
42,20230125,OCI0043,0.0,100.0,77.18083955223881,100.0,2G
43,20230125,OCI0044,0.0,100.0,92.98962406015038,100.0,2G
44,20230125,OCI0045,0.0,100.0,89.50468571428571,100.0,2G
45,20230125,OCI0046,0.0,100.0,97.48279835390946,100.0,2G
46,20230125,OCI0047,0.0,100.0,84.46098113207547,100.0,2G
47,20230125,OCI0048,0.0,100.0,88.38615384615385,100.0,2G
48,20230125,OCI0049,0.0,100.0,93.83775238095238,99.54,2G
49,20230125,OCI0050,0.0,100.0,97.07068571428572,,2G
50,20230125,OCI0051,0.0,100.0,91.69637037037037,100.0,2G
51,20230125,OCI0052,0.0,100.0,95.85044776119403,100.0,2G
52,20230125,OCI0053,0.0,100.0,93.74014925373135,100.0,2G
53,20230125,OCI0054,0.0,100.0,91.14789272030652,100.0,2G
54,20230125,OCI0055,0.0,100.0,84.85125,99.85,2G
55,20230125,OCI0056,0.0,100.0,97.16742537313432,100.0,2G
56,20230125,OCI0057,0.0,100.0,93.29666666666667,,2G
57,20230125,OCI0058,0.0,100.0,85.36743083003952,100.0,2G
58,20230125,OCI0059,0.0,100.0,92.9526454033771,,2G
59,20230125,OCI0060,0.0,100.0,95.4531156716418,99.94,2G
60,20230125,OCI0061,0.0,100.0,96.14583333333333,100.0,2G
61,20230125,OCI0062,0.0,100.0,89.5996812749004,100.0,2G
62,20230125,OCI0063,0.0,100.0,95.12453358208955,100.0,2G
63,20230125,OCI0064,0.0,100.0,96.8537984496124,100.0,2G
64,20230125,OCI0065,0.0,100.0,93.89271653543307,99.43,2G
65,20230125,OCI0066,0.0,100.0,89.84957528957528,100.0,2G
66,20230125,OCI0067,0.0,100.0,95.796,99.93,2G
67,20230125,OCI0068,0.0,100.0,91.4392927308448,100.0,2G
68,20230125,OCI0069,0.0,100.0,87.4015969581749,100.0,2G
69,20230125,OCI0070,0.0,100.0,90.68916666666667,100.0,2G
70,20230125,OCI0071,0.0,100.0,92.27744360902255,100.0,2G
71,20230125,OCI0072,0.0,100.0,79.32962121212121,100.0,2G
72,20230125,OCI0073,0.0,100.0,90.71784615384615,100.0,2G
73,20230125,OCI0074,0.0,100.0,83.66718992248062,100.0,2G
74,20230125,OCI0075,0.0,100.0,94.3188588007737,100.0,2G
75,20230125,OCI0076,98.85,100.0,99.87721088435374,,2G
76,20230125,OCI0077,0.0,100.0,97.65867768595041,100.0,2G
77,20230125,OCI0078,0.0,100.0,91.65488721804512,,2G
78,20230125,OCI0080,0.0,100.0,88.65404580152672,100.0,2G
79,20230125,OCI0081,0.0,100.0,92.88074626865672,100.0,2G
