,date_jour,code_site,trafic_voix,trafic_data,techno
0,20230121,0,731.8,,3G
1,20230121,1,,279.691292,4G
2,20230121,2,,174.201754,4G
3,20230121,21,,582.104232,4G
4,20230121,22,,480.759621,4G
5,20230121,23,,316.709918,4G
6,20230121,3,,158.338787,4G
7,20230121,31,,179.669911,4G
8,20230121,32,,88.589037,4G
9,20230121,33,,175.908312,4G
10,20230121,OCI0001,764.43,1.34135548,2G
11,20230121,OCI0001,1079.96,142.61,3G
12,20230121,OCI0001,,644.330687,4G
13,20230121,OCI0002,318.09,0.50470616,2G
14,20230121,OCI0002,594.39,51.79,3G
15,20230121,OCI0002,,621.548469,4G
16,20230121,OCI0003,492.35,1.00350456,2G
17,20230121,OCI0003,705.58,198.89,3G
18,20230121,OCI0003,,366.609742,4G
19,20230121,OCI0004,829.43,1.04762586,2G
20,20230121,OCI0004,1653.93,191.19,3G
21,20230121,OCI0004,,1100.145665,4G
22,20230121,OCI0005,587.17,0.64941124,2G
23,20230121,OCI0005,969.61,131.77,3G
24,20230121,OCI0005,,1171.628934,4G
25,20230121,OCI0006,971.0,0.5547682,2G
26,20230121,OCI0006,997.749999999999,89.15,3G
27,20230121,OCI0006,,933.447917,4G
28,20230121,OCI0007,104.56,0.13577804,2G
29,20230121,OCI0007,419.48,38.6,3G
30,20230121,OCI0007,,215.405877,4G
31,20230121,OCI0008,149.34,0.24062196,2G
32,20230121,OCI0008,207.86,20.46,3G
33,20230121,OCI0008,,37.925139,4G
34,20230121,OCI0009,468.96,1.13169799,2G
35,20230121,OCI0009,1587.56,169.55,3G
36,20230121,OCI0009,,762.59567,4G
37,20230121,OCI0010,366.28,0.68342809,2G
38,20230121,OCI0010,1250.13,165.94,3G
39,20230121,OCI0010,,1275.917132,4G
40,20230121,OCI0011,470.47,1.04453385,2G
41,20230121,OCI0011,1411.02,200.24,3G
42,20230121,OCI0011,,1282.231503,4G
43,20230121,OCI0012,384.19,0.68627771,2G
44,20230121,OCI0012,291.66,33.71,3G
45,20230121,OCI0012,,713.358139999999,4G
46,20230121,OCI0013,632.72,0.77497258,2G
47,20230121,OCI0013,1311.46,154.45,3G
48,20230121,OCI0013,,590.812134,4G
49,20230121,OCI0014,423.97,0.67666221,2G
50,20230121,OCI0014,1444.23,145.62,3G
51,20230121,OCI0014,,950.703907,4G
52,20230121,OCI0015,798.92,1.98111021,2G
53,20230121,OCI0015,1317.76,144.86,3G
54,20230121,OCI0015,,930.99217,4G
55,20230121,OCI0016,1154.73,0.50533912,2G
56,20230121,OCI0016,796.06,48.7,3G
57,20230121,OCI0016,,238.613765,4G
58,20230121,OCI0017,619.33,1.67939024,2G
59,20230121,OCI0017,233.43,49.73,3G
60,20230121,OCI0017,,159.618459,4G
61,20230121,OCI0018,387.2,0.51406363,2G
62,20230121,OCI0018,387.79,54.33,3G
63,20230121,OCI0018,,130.64949,4G
64,20230121,OCI0019,349.94,0.94160945,2G
