,date_jour,code_site,trafic_voix,trafic_data,techno
0,20230114,0,715.15,,3G
1,20230114,1,,215.737008,4G
2,20230114,2,,189.708844,4G
3,20230114,21,,785.153524,4G
4,20230114,22,,532.880172,4G
5,20230114,23,,374.45493,4G
6,20230114,3,,181.169973,4G
7,20230114,31,,169.502673,4G
8,20230114,32,,82.681528,4G
9,20230114,33,,200.748353,4G
10,20230114,OCI0001,794.0,1.41308798,2G
11,20230114,OCI0001,1232.42,142.28,3G
12,20230114,OCI0001,,658.610405,4G
13,20230114,OCI0002,325.57,0.65937862,2G
14,20230114,OCI0002,586.89,46.57,3G
15,20230114,OCI0002,,602.456746,4G
16,20230114,OCI0003,506.77,1.03244214,2G
17,20230114,OCI0003,725.7,198.66,3G
18,20230114,OCI0003,,376.057136,4G
19,20230114,OCI0004,839.41,0.96567774,2G
20,20230114,OCI0004,1739.53,188.73,3G
21,20230114,OCI0004,,1077.235656,4G
22,20230114,OCI0005,617.049999999999,0.42253774,2G
23,20230114,OCI0005,953.03,138.34,3G
24,20230114,OCI0005,,1154.566864,4G
25,20230114,OCI0006,1043.65,0.52754307,2G
26,20230114,OCI0006,938.27,100.82,3G
27,20230114,OCI0006,,965.654051,4G
28,20230114,OCI0007,92.78,0.1815589,2G
29,20230114,OCI0007,388.91,43.71,3G
30,20230114,OCI0007,,221.827561,4G
31,20230114,OCI0008,163.16,0.1728871,2G
32,20230114,OCI0008,233.67,24.02,3G
33,20230114,OCI0008,,55.107276,4G
34,20230114,OCI0009,461.66,0.90724064,2G
35,20230114,OCI0009,1723.47,168.9,3G
36,20230114,OCI0009,,760.579586000001,4G
37,20230114,OCI0010,476.84,0.5012634,2G
38,20230114,OCI0010,1265.92,186.04,3G
39,20230114,OCI0010,,1277.1084,4G
40,20230114,OCI0011,548.39,1.17226287,2G
41,20230114,OCI0011,1483.16,224.04,3G
42,20230114,OCI0011,,1350.407627,4G
43,20230114,OCI0012,362.81,0.80202234,2G
44,20230114,OCI0012,324.67,33.35,3G
45,20230114,OCI0012,,694.733015,4G
46,20230114,OCI0013,547.34,1.41649895,2G
47,20230114,OCI0013,1414.64,156.82,3G
48,20230114,OCI0013,,612.058588,4G
49,20230114,OCI0014,438.73,0.64930858,2G
50,20230114,OCI0014,1477.28,146.17,3G
51,20230114,OCI0014,,958.562531,4G
52,20230114,OCI0015,740.16,1.38913208,2G
53,20230114,OCI0015,1391.91,132.47,3G
54,20230114,OCI0015,,899.739524999999,4G
55,20230114,OCI0016,1387.38,0.77271667,2G
56,20230114,OCI0016,907.13,63.77,3G
57,20230114,OCI0016,,247.274472,4G
58,20230114,OCI0017,649.21,1.40605531,2G
59,20230114,OCI0017,232.11,46.55,3G
60,20230114,OCI0017,,177.827445,4G
61,20230114,OCI0018,375.06,0.42519291,2G
62,20230114,OCI0018,430.54,63.93,3G
