,date_jour,code_site,trafic_voix,trafic_data,techno
0,20230313,0,868.11,,3G
1,20230313,1,,62.699318,4G
2,20230313,2,,118.86862,4G
3,20230313,21,,176.096732,4G
4,20230313,22,,183.554011,4G
5,20230313,23,,184.344549,4G
6,20230313,3,,102.55895,4G
7,20230313,31,,41.788941,4G
8,20230313,32,,56.900523,4G
9,20230313,33,,43.168048,4G
10,20230313,OCI0001,836.84,1.21663034,2G
11,20230313,OCI0001,1238.88,145.32,3G
12,20230313,OCI0001,,701.736192,4G
13,20230313,OCI0002,329.42,0.31956282,2G
14,20230313,OCI0002,577.19,60.12,3G
15,20230313,OCI0002,,525.111327,4G
16,20230313,OCI0003,521.44,0.65210937,2G
17,20230313,OCI0003,858.32,179.95,3G
18,20230313,OCI0003,,528.38059,4G
19,20230313,OCI0004,778.02,1.43849936,2G
20,20230313,OCI0004,1452.49,233.68,3G
21,20230313,OCI0004,,1101.476279,4G
22,20230313,OCI0005,583.69,0.54757312,2G
23,20230313,OCI0005,989.81,196.75,3G
24,20230313,OCI0005,,1150.728826,4G
25,20230313,OCI0006,1063.27,0.55504701,2G
26,20230313,OCI0006,1221.49,175.92,3G
27,20230313,OCI0006,,1103.42193,4G
28,20230313,OCI0007,172.92,0.1039067,2G
29,20230313,OCI0007,515.54,37.92,3G
30,20230313,OCI0007,,239.403392,4G
31,20230313,OCI0008,197.64,0.07485548,2G
32,20230313,OCI0008,182.72,22.57,3G
33,20230313,OCI0008,,41.838912,4G
34,20230313,OCI0009,588.93,0.9974728,2G
35,20230313,OCI0009,2006.89,200.23,3G
36,20230313,OCI0009,,915.535068,4G
37,20230313,OCI0010,393.51,0.7823221,2G
38,20230313,OCI0010,1199.16,181.69,3G
39,20230313,OCI0010,,1154.924481,4G
40,20230313,OCI0011,462.09,1.39861057,2G
41,20230313,OCI0011,1179.95,256.96,3G
42,20230313,OCI0011,,1202.256519,4G
43,20230313,OCI0012,446.32,1.12209455,2G
44,20230313,OCI0012,339.05,41.26,3G
45,20230313,OCI0012,,770.051293,4G
46,20230313,OCI0013,591.74,1.81769529,2G
47,20230313,OCI0013,1427.49,160.9,3G
48,20230313,OCI0013,,680.443992,4G
49,20230313,OCI0014,410.71,0.96377614,2G
50,20230313,OCI0014,1436.42,154.37,3G
51,20230313,OCI0014,,900.564400000001,4G
52,20230313,OCI0015,968.44,1.41639069,2G
53,20230313,OCI0015,1398.8,128.49,3G
54,20230313,OCI0015,,934.457961,4G
55,20230313,OCI0016,1190.59,0.64894072,2G
56,20230313,OCI0016,779.679999999999,52.66,3G
57,20230313,OCI0016,,257.714534,4G
58,20230313,OCI0017,571.12,1.15931153,2G
59,20230313,OCI0017,235.44,44.02,3G
60,20230313,OCI0017,,166.390908,4G
61,20230313,OCI0018,364.66,0.42462715,2G
62,20230313,OCI0018,408.48,65.06,3G
63,20230313,OCI0018,,172.79862,4G
64,20230313,OCI0019,399.15,0.59027042,2G
65,20230313,OCI0019,408.02,40.94,3G
66,20230313,OCI0019,,151.552644,4G
67,20230313,OCI0020,420.82,0.48454912,2G
68,20230313,OCI0020,1516.52,137.25,3G
69,20230313,OCI0020,,1098.452837,4G
70,20230313,OCI0021,1005.25,0.64952392,2G
71,20230313,OCI0021,254.81,46.15,3G
72,20230313,OCI0021,,31.31583,4G
73,20230313,OCI0022,327.8,0.46944217,2G
74,20230313,OCI0022,545.13,77.5499999999999,3G
75,20230313,OCI0022,,204.82014,4G
76,20230313,OCI0023,249.39,0.64337994,2G
77,20230313,OCI0023,171.6,21.28,3G
78,20230313,OCI0023,,38.375009,4G
79,20230313,OCI0024,277.17,0.44688413,2G
80,20230313,OCI0024,137.99,28.65,3G
81,20230313,OCI0024,,106.072675,4G
82,20230313,OCI0025,1209.89,1.64220205,2G
83,20230313,OCI0025,2852.79,386.85,3G
84,20230313,OCI0025,,1118.055702,4G
85,20230313,OCI0026,699.36,0.38392489,2G
86,20230313,OCI0026,2179.11,234.07,3G
87,20230313,OCI0026,,623.83475,4G
88,20230313,OCI0027,0.0,,2G
89,20230313,OCI0028,571.22,0.41969853,2G
90,20230313,OCI0028,270.52,34.26,3G
91,20230313,OCI0028,,64.806421,4G
92,20230313,OCI0029,1602.67,1.94553179,2G
93,20230313,OCI0029,2085.08,385.47,3G
94,20230313,OCI0029,,1620.559023,4G
95,20230313,OCI0030,632.18,1.18691987,2G
96,20230313,OCI0030,1455.39,275.21,3G
97,20230313,OCI0030,,797.145147,4G
98,20230313,OCI0031,506.39,0.27768841,2G
99,20230313,OCI0031,1680.99,105.99,3G
100,20230313,OCI0031,,799.684838,4G
101,20230313,OCI0032,10.6,0.05390528,2G
102,20230313,OCI0033,344.68,0.4787301,2G
103,20230313,OCI0033,992.2,76.35,3G
104,20230313,OCI0033,,741.95883,4G
105,20230313,OCI0034,2.62,0.00098201,2G
106,20230313,OCI0035,242.49,0.88571681,2G
107,20230313,OCI0035,270.68,75.34,3G
108,20230313,OCI0036,535.16,0.63042332,2G
109,20230313,OCI0036,763.61,123.82,3G
110,20230313,OCI0036,,252.180158,4G
111,20230313,OCI0037,423.59,0.51780431,2G
112,20230313,OCI0037,412.35,32.35,3G
113,20230313,OCI0037,,259.586429,4G
114,20230313,OCI0038,590.36,1.03228165,2G
115,20230313,OCI0038,1675.02,287.78,3G
116,20230313,OCI0038,,664.144424,4G
117,20230313,OCI0039,767.22,1.22860228,2G
118,20230313,OCI0039,927.009999999999,71.34,3G
119,20230313,OCI0039,,521.090148,4G
120,20230313,OCI0041,276.75,0.63561883,2G
121,20230313,OCI0041,1270.47,102.7,3G
122,20230313,OCI0041,,712.588703,4G
123,20230313,OCI0042,707.69,0.9581864,2G
124,20230313,OCI0042,2019.08,214.65,3G
125,20230313,OCI0042,,1333.331833,4G
126,20230313,OCI0043,518.97,0.21638153,2G
127,20230313,OCI0043,277.53,20.46,3G
128,20230313,OCI0043,,38.727173,4G
129,20230313,OCI0044,860.58,1.0235528,2G
130,20230313,OCI0044,1744.65,213.97,3G
131,20230313,OCI0044,,965.013434,4G
132,20230313,OCI0045,298.17,0.3733269,2G
133,20230313,OCI0045,524.29,50.33,3G
134,20230313,OCI0045,,182.798281,4G
135,20230313,OCI0046,366.19,0.71856,2G
136,20230313,OCI0046,300.29,42.37,3G
137,20230313,OCI0046,,88.29332,4G
138,20230313,OCI0047,185.07,0.2647822,2G
139,20230313,OCI0047,106.01,13.13,3G
140,20230313,OCI0047,,58.8959,4G
141,20230313,OCI0048,189.76,0.0999847700000001,2G
142,20230313,OCI0048,75.85,8.74,3G
143,20230313,OCI0048,,14.782207,4G
144,20230313,OCI0049,692.24,0.34204911,2G
145,20230313,OCI0049,401.39,51.17,3G
146,20230313,OCI0049,,117.023478,4G
147,20230313,OCI0050,557.56,0.17383986,2G
148,20230313,OCI0050,170.71,10.29,3G
149,20230313,OCI0050,,21.855042,4G
150,20230313,OCI0051,783.07,0.47134665,2G
151,20230313,OCI0051,1849.75,140.14,3G
152,20230313,OCI0051,,784.606945,4G
153,20230313,OCI0052,231.28,0.16598128,2G
154,20230313,OCI0052,351.91,38.9,3G
155,20230313,OCI0052,,135.361494,4G
156,20230313,OCI0053,337.86,0.19059398,2G
157,20230313,OCI0053,1929.95,134.47,3G
158,20230313,OCI0053,,739.497858,4G
159,20230313,OCI0054,174.1,0.09710554,2G
160,20230313,OCI0054,798.75,79.53,3G
161,20230313,OCI0054,,338.811446,4G
162,20230313,OCI0055,159.52,0.49575507,2G
163,20230313,OCI0055,23.54,7.51,3G
164,20230313,OCI0055,,27.937718,4G
165,20230313,OCI0056,905.97,2.24697304,2G
166,20230313,OCI0056,2065.89,343.06,3G
167,20230313,OCI0056,,1411.708052,4G
168,20230313,OCI0057,724.38,0.74273789,2G
169,20230313,OCI0057,1640.59,226.77,3G
170,20230313,OCI0057,,1056.957297,4G
171,20230313,OCI0058,82.41,0.05140068,2G
172,20230313,OCI0058,133.05,22.54,3G
173,20230313,OCI0058,,54.306604,4G
174,20230313,OCI0059,855.9,0.30679865,2G
175,20230313,OCI0059,267.56,17.29,3G
176,20230313,OCI0059,,21.739628,4G
177,20230313,OCI0060,616.94,0.2605225,2G
178,20230313,OCI0060,766.319999999999,77.41,3G
179,20230313,OCI0060,,156.297031,4G
180,20230313,OCI0061,429.62,0.36883493,2G
181,20230313,OCI0061,1529.29,182.03,3G
182,20230313,OCI0061,,833.083566,4G
183,20230313,OCI0062,214.92,0.24027679,2G
184,20230313,OCI0062,74.8,11.05,3G
185,20230313,OCI0062,,68.852415,4G
186,20230313,OCI0063,769.39,1.44759507,2G
187,20230313,OCI0063,1297.85,225.06,3G
188,20230313,OCI0063,,626.13348,4G
189,20230313,OCI0064,546.53,0.90780427,2G
190,20230313,OCI0064,275.9,59.24,3G
191,20230313,OCI0065,238.28,0.66381336,2G
192,20230313,OCI0065,177.82,48.82,3G
193,20230313,OCI0066,110.93,0.25342293,2G
194,20230313,OCI0066,111.83,23.65,3G
195,20230313,OCI0066,,34.05039,4G
196,20230313,OCI0067,428.29,0.24527885,2G
197,20230313,OCI0067,174.87,21.71,3G
198,20230313,OCI0067,,63.641811,4G
199,20230313,OCI0068,347.31,0.38482931,2G
200,20230313,OCI0068,562.81,53.99,3G
201,20230313,OCI0068,,190.008783,4G
202,20230313,OCI0069,173.15,0.20627879,2G
203,20230313,OCI0069,672.569999999999,56.99,3G
204,20230313,OCI0069,,469.082249,4G
205,20230313,OCI0070,546.14,1.25113199,2G
206,20230313,OCI0070,1098.9,132.81,3G
207,20230313,OCI0070,,562.92982,4G
208,20230313,OCI0071,316.12,0.11135129,2G
209,20230313,OCI0071,678.21,76.26,3G
210,20230313,OCI0071,,655.824825,4G
211,20230313,OCI0072,135.28,0.36110235,2G
212,20230313,OCI0072,401.21,22.43,3G
213,20230313,OCI0072,,196.770842,4G
214,20230313,OCI0073,201.33,0.49939902,2G
215,20230313,OCI0073,166.27,19.65,3G
216,20230313,OCI0073,,68.477561,4G
217,20230313,OCI0074,167.7,0.18218782,2G
218,20230313,OCI0074,82.31,8.75,3G
219,20230313,OCI0074,,26.722799,4G
220,20230313,OCI0075,473.52,0.821021570000001,2G
221,20230313,OCI0075,1279.21,87.64,3G
222,20230313,OCI0075,,1065.792835,4G
223,20230313,OCI0076,552.69,1.22872552,2G
224,20230313,OCI0076,1675.65,267.71,3G
225,20230313,OCI0076,,1294.889487,4G
226,20230313,OCI0077,430.58,0.93693533,2G
227,20230313,OCI0077,1230.49,96.57,3G
228,20230313,OCI0077,,865.465373,4G
229,20230313,OCI0078,427.05,0.24969753,2G
230,20230313,OCI0078,72.88,9.27,3G
231,20230313,OCI0078,,7.507616,4G
232,20230313,OCI0080,289.75,0.81725681,2G
233,20230313,OCI0080,308.72,47.28,3G
234,20230313,OCI0080,,84.401072,4G
235,20230313,OCI0081,336.83,0.43099969,2G
236,20230313,OCI0081,1177.04,181.06,3G
237,20230313,OCI0081,,833.720198000001,4G
238,20230313,OCI0082,286.74,0.45804078,2G
239,20230313,OCI0082,,269.158034,4G
240,20230313,OCI0083,308.69,0.58169061,2G
241,20230313,OCI0083,181.42,27.62,3G
242,20230313,OCI0083,,27.399307,4G
243,20230313,OCI0084,394.94,0.20594086,2G
244,20230313,OCI0084,272.28,24.53,3G
245,20230313,OCI0084,,49.737936,4G
246,20230313,OCI0085,270.28,0.22528743,2G
247,20230313,OCI0085,452.44,47.03,3G
248,20230313,OCI0085,,219.901216,4G
249,20230313,OCI0086,211.05,0.27163398,2G
250,20230313,OCI0086,839.27,71.43,3G
251,20230313,OCI0086,,360.286625,4G
252,20230313,OCI0087,471.35,0.30601066,2G
253,20230313,OCI0087,1389.25,105.94,3G
254,20230313,OCI0087,,629.893613000001,4G
255,20230313,OCI0088,470.76,0.98955719,2G
256,20230313,OCI0088,299.3,36.61,3G
257,20230313,OCI0088,,98.251038,4G
258,20230313,OCI0089,389.68,3.44162528,2G
259,20230313,OCI0089,365.39,50.98,3G
260,20230313,OCI0089,,,4G
261,20230313,OCI0090,111.71,0.21003273,2G
262,20230313,OCI0090,554.62,33.08,3G
263,20230313,OCI0090,,356.021595,4G
264,20230313,OCI0091,590.33,0.34492632,2G
265,20230313,OCI0091,170.87,31.74,3G
266,20230313,OCI0091,,114.319768,4G
267,20230313,OCI0092,2612.78,2.81436068,2G
268,20230313,OCI0092,1032.31,49.43,3G
