,date_jour,code_site,trafic_voix,trafic_data,techno
0,20230308,0,849.05,,3G
1,20230308,1,,149.710871,4G
2,20230308,2,,84.233259,4G
3,20230308,21,,200.513562,4G
4,20230308,22,,179.092748,4G
5,20230308,23,,135.57069,4G
6,20230308,3,,139.23042,4G
7,20230308,31,,157.639763,4G
8,20230308,32,,94.013755,4G
9,20230308,33,,186.004498,4G
10,20230308,367,0.0,,2G
11,20230308,368,0.0,,2G
12,20230308,369,0.0,,2G
13,20230308,3917,0.0,,2G
14,20230308,3918,0.0,,2G
15,20230308,3919,0.0,,2G
16,20230308,OCI0001,731.87,0.9882268,2G
17,20230308,OCI0001,1021.62,163.02,3G
18,20230308,OCI0001,,770.306446000001,4G
19,20230308,OCI0002,329.52,0.44249154,2G
20,20230308,OCI0002,555.96,65.47,3G
21,20230308,OCI0002,,682.203743,4G
22,20230308,OCI0003,545.05,0.79915326,2G
23,20230308,OCI0003,803.42,218.2,3G
24,20230308,OCI0003,,615.398189,4G
25,20230308,OCI0004,608.93,1.27790475,2G
26,20230308,OCI0004,1213.26,208.42,3G
27,20230308,OCI0004,,1227.98019,4G
28,20230308,OCI0005,598.34,0.63623875,2G
29,20230308,OCI0005,824.699999999999,207.79,3G
30,20230308,OCI0005,,1142.85066,4G
31,20230308,OCI0006,1086.61,0.69491217,2G
32,20230308,OCI0006,1066.39,208.53,3G
33,20230308,OCI0006,,1136.935805,4G
34,20230308,OCI0007,190.64,0.25650598,2G
35,20230308,OCI0007,688.65,65.77,3G
36,20230308,OCI0007,,319.873249,4G
37,20230308,OCI0008,165.22,0.04560292,2G
38,20230308,OCI0008,169.41,24.5,3G
39,20230308,OCI0008,,53.582465,4G
40,20230308,OCI0009,573.29,1.34868082,2G
41,20230308,OCI0009,2012.11,228.97,3G
42,20230308,OCI0009,,1067.782807,4G
43,20230308,OCI0010,381.1,0.823325799999999,2G
44,20230308,OCI0010,1120.61,284.57,3G
45,20230308,OCI0010,,1358.944432,4G
46,20230308,OCI0011,451.13,1.67673104,2G
47,20230308,OCI0011,1113.27,342.43,3G
48,20230308,OCI0011,,1468.768639,4G
49,20230308,OCI0012,477.08,1.57082248,2G
50,20230308,OCI0012,314.28,50.97,3G
51,20230308,OCI0012,,821.622859,4G
52,20230308,OCI0013,590.86,1.46081045,2G
53,20230308,OCI0013,1324.28,192.54,3G
54,20230308,OCI0013,,800.068864,4G
55,20230308,OCI0014,410.44,0.81135163,2G
56,20230308,OCI0014,1358.04,188.19,3G
57,20230308,OCI0014,,1090.287674,4G
58,20230308,OCI0015,1039.2,1.57769977,2G
59,20230308,OCI0015,1271.52,158.48,3G
60,20230308,OCI0015,,1064.84287,4G
61,20230308,OCI0016,1199.99,0.42488687,2G
62,20230308,OCI0016,754.18,72.49,3G
63,20230308,OCI0016,,292.896905,4G
64,20230308,OCI0017,389.64,0.75872462,2G
65,20230308,OCI0017,264.12,50.07,3G
66,20230308,OCI0017,,211.986706,4G
67,20230308,OCI0018,354.26,0.64827157,2G
68,20230308,OCI0018,386.43,80.9000000000001,3G
69,20230308,OCI0018,,195.50144,4G
70,20230308,OCI0019,413.13,0.47864537,2G
71,20230308,OCI0019,382.7,43.23,3G
72,20230308,OCI0019,,178.447716,4G
73,20230308,OCI0020,418.37,0.54682637,2G
74,20230308,OCI0020,1378.26,165.1,3G
75,20230308,OCI0020,,1296.097055,4G
76,20230308,OCI0021,980.98,0.34237484,2G
77,20230308,OCI0021,234.26,56.94,3G
78,20230308,OCI0021,,42.9409,4G
79,20230308,OCI0022,322.07,0.21945382,2G
80,20230308,OCI0022,508.1,90.87,3G
81,20230308,OCI0022,,254.306262,4G
82,20230308,OCI0023,221.49,0.83049024,2G
83,20230308,OCI0023,155.64,29.32,3G
84,20230308,OCI0023,,39.113906,4G
85,20230308,OCI0024,246.44,0.33292536,2G
86,20230308,OCI0024,137.2,32.99,3G
87,20230308,OCI0024,,98.69293,4G
88,20230308,OCI0025,1234.81,0.982684339999999,2G
89,20230308,OCI0025,2751.76,483.61,3G
90,20230308,OCI0025,,1343.123454,4G
91,20230308,OCI0026,643.29,0.41439485,2G
92,20230308,OCI0026,1964.53,258.62,3G
93,20230308,OCI0026,,769.700105,4G
94,20230308,OCI0027,0.0,,2G
95,20230308,OCI0028,590.89,0.43506996,2G
96,20230308,OCI0028,273.49,43.93,3G
97,20230308,OCI0028,,115.22113,4G
98,20230308,OCI0029,1466.36,2.27951303,2G
99,20230308,OCI0029,2068.04,324.43,3G
100,20230308,OCI0029,,2065.76902,4G
101,20230308,OCI0030,662.58,1.22204948,2G
102,20230308,OCI0030,1406.18,268.44,3G
103,20230308,OCI0030,,1005.265229,4G
104,20230308,OCI0031,535.53,0.28739202,2G
105,20230308,OCI0031,1611.19,114.19,3G
106,20230308,OCI0031,,859.602085,4G
107,20230308,OCI0032,15.04,0.03180412,2G
108,20230308,OCI0033,369.39,1.51318992,2G
109,20230308,OCI0033,943.43,63.3,3G
110,20230308,OCI0033,,855.694717,4G
111,20230308,OCI0034,1.88,0.00985799,2G
112,20230308,OCI0035,260.97,0.79637918,2G
113,20230308,OCI0035,283.32,85.13,3G
114,20230308,OCI0036,524.98,1.01671354,2G
115,20230308,OCI0036,694.71,152.34,3G
116,20230308,OCI0036,,273.993225,4G
117,20230308,OCI0037,392.83,0.51091304,2G
118,20230308,OCI0037,385.61,24.1,3G
119,20230308,OCI0037,,198.212557,4G
120,20230308,OCI0038,656.28,1.17343313,2G
121,20230308,OCI0038,1743.19,309.1,3G
122,20230308,OCI0038,,777.4669,4G
