,date_jour,code_site,trafic_voix,trafic_data,techno
0,20230215,0,885.4,,3G
1,20230215,1,,228.505444,4G
2,20230215,2,,263.934147,4G
3,20230215,21,,516.809234,4G
4,20230215,22,,380.338882,4G
5,20230215,23,,542.708359,4G
6,20230215,3,,355.91944,4G
7,20230215,31,,145.481366,4G
8,20230215,32,,161.656573,4G
9,20230215,33,,162.526064,4G
10,20230215,OCI0001,835.55,1.36210579,2G
11,20230215,OCI0001,1113.5,171.45,3G
12,20230215,OCI0001,,795.773699,4G
13,20230215,OCI0002,383.93,0.37609496,2G
14,20230215,OCI0002,608.89,73.91,3G
15,20230215,OCI0002,,607.364746,4G
16,20230215,OCI0003,547.03,0.58146443,2G
17,20230215,OCI0003,775.909999999999,220.04,3G
18,20230215,OCI0003,,621.998048,4G
19,20230215,OCI0004,718.77,1.21431839,2G
20,20230215,OCI0004,1313.38,242.45,3G
21,20230215,OCI0004,,1180.14011,4G
22,20230215,OCI0005,688.35,0.54301316,2G
23,20230215,OCI0005,913.68,216.44,3G
24,20230215,OCI0005,,1399.552879,4G
25,20230215,OCI0006,1186.97,0.80139394,2G
26,20230215,OCI0006,1141.1,205.22,3G
27,20230215,OCI0006,,1214.005253,4G
28,20230215,OCI0007,127.23,0.35586317,2G
29,20230215,OCI0007,623.47,60.3,3G
30,20230215,OCI0007,,277.953021,4G
31,20230215,OCI0008,169.47,0.07137951,2G
32,20230215,OCI0008,187.63,23.56,3G
33,20230215,OCI0008,,47.108181,4G
34,20230215,OCI0009,608.51,1.21526374,2G
35,20230215,OCI0009,1861.06,230.21,3G
36,20230215,OCI0009,,996.556835,4G
37,20230215,OCI0010,424.36,0.94313015,2G
38,20230215,OCI0010,1215.69,233.33,3G
39,20230215,OCI0010,,1361.082116,4G
40,20230215,OCI0011,567.54,2.19248637,2G
41,20230215,OCI0011,1301.01,363.63,3G
42,20230215,OCI0011,,1465.450511,4G
43,20230215,OCI0012,416.39,0.98256157,2G
44,20230215,OCI0012,226.74,33.42,3G
45,20230215,OCI0012,,618.119801,4G
46,20230215,OCI0013,728.52,1.7209248,2G
47,20230215,OCI0013,1341.62,191.81,3G
48,20230215,OCI0013,,701.445198,4G
49,20230215,OCI0014,458.07,0.64881512,2G
50,20230215,OCI0014,1389.37,198.16,3G
51,20230215,OCI0014,,964.59694,4G
52,20230215,OCI0015,882.56,1.63288512,2G
53,20230215,OCI0015,1368.74,157.14,3G
54,20230215,OCI0015,,1072.615354,4G
55,20230215,OCI0016,1200.23,0.54338035,2G
56,20230215,OCI0016,781.98,74.79,3G
57,20230215,OCI0016,,308.482903,4G
58,20230215,OCI0017,633.199999999999,0.97666572,2G
59,20230215,OCI0017,217.8,54.02,3G
60,20230215,OCI0017,,210.253561,4G
61,20230215,OCI0018,403.88,0.42841932,2G
62,20230215,OCI0018,420.6,101.68,3G
63,20230215,OCI0018,,201.055004,4G
64,20230215,OCI0019,396.5,0.66357473,2G
65,20230215,OCI0019,380.88,39.88,3G
66,20230215,OCI0019,,187.635913,4G
67,20230215,OCI0020,488.41,1.33618873,2G
68,20230215,OCI0020,1538.68,171.72,3G
69,20230215,OCI0020,,1283.315137,4G
70,20230215,OCI0021,1083.72,0.41694111,2G
71,20230215,OCI0021,233.34,63.36,3G
72,20230215,OCI0021,,35.274132,4G
73,20230215,OCI0022,333.58,0.38123152,2G
74,20230215,OCI0022,492.29,73.29,3G
75,20230215,OCI0022,,244.440247,4G
76,20230215,OCI0023,236.27,0.51242926,2G
77,20230215,OCI0023,122.82,27.45,3G
78,20230215,OCI0023,,43.316026,4G
79,20230215,OCI0024,290.73,0.50148456,2G
80,20230215,OCI0024,111.94,32.4,3G
81,20230215,OCI0024,,96.89317,4G
82,20230215,OCI0025,1241.42,0.93698817,2G
83,20230215,OCI0025,2960.14,398.3,3G
84,20230215,OCI0025,,1475.149156,4G
85,20230215,OCI0026,575.44,0.54871801,2G
86,20230215,OCI0026,1949.69,247.4,3G
87,20230215,OCI0026,,738.776234,4G
88,20230215,OCI0027,0.0,,2G
89,20230215,OCI0028,720.14,0.47836514,2G
90,20230215,OCI0028,336.31,72.03,3G
91,20230215,OCI0028,,100.037277,4G
92,20230215,OCI0029,1437.18,1.53749273,2G
93,20230215,OCI0029,2202.47,342.82,3G
94,20230215,OCI0029,,1974.823694,4G
95,20230215,OCI0030,680.08,0.82047914,2G
