,date_jour,code_site,trafic_voix,trafic_data,techno
0,20230212,0,546.78,,3G
1,20230212,1,,161.058404,4G
2,20230212,2,,248.097643,4G
3,20230212,21,,537.350124,4G
4,20230212,22,,752.370775,4G
5,20230212,23,,682.190625,4G
6,20230212,3,,256.15786,4G
7,20230212,31,,207.756331,4G
8,20230212,32,,246.327465,4G
9,20230212,33,,240.253782,4G
10,20230212,OCI0001,848.03,1.22613167,2G
11,20230212,OCI0001,1067.21,148.19,3G
12,20230212,OCI0001,,724.803866,4G
13,20230212,OCI0002,359.67,0.49641514,2G
14,20230212,OCI0002,509.49,55.54,3G
15,20230212,OCI0002,,612.638145,4G
16,20230212,OCI0003,646.79,0.90785314,2G
17,20230212,OCI0003,755.54,187.35,3G
18,20230212,OCI0003,,333.29959,4G
19,20230212,OCI0004,643.52,0.87591841,2G
20,20230212,OCI0004,1366.06,216.86,3G
21,20230212,OCI0004,,1087.596258,4G
22,20230212,OCI0005,556.97,0.40401338,2G
23,20230212,OCI0005,732.51,209.17,3G
24,20230212,OCI0005,,1117.089982,4G
25,20230212,OCI0006,881.9,0.64289574,2G
26,20230212,OCI0006,641.539999999999,147.13,3G
27,20230212,OCI0006,,745.245591,4G
28,20230212,OCI0007,83.4499999999999,0.0807644799999999,2G
29,20230212,OCI0007,309.49,39.85,3G
30,20230212,OCI0007,,231.017951,4G
31,20230212,OCI0008,163.43,0.09636729,2G
32,20230212,OCI0008,195.94,21.55,3G
33,20230212,OCI0008,,56.707135,4G
34,20230212,OCI0009,403.11,0.71901648,2G
35,20230212,OCI0009,1287.94,167.44,3G
36,20230212,OCI0009,,661.467272,4G
37,20230212,OCI0010,414.12,0.48622013,2G
38,20230212,OCI0010,1254.58,237.33,3G
39,20230212,OCI0010,,1286.145522,4G
40,20230212,OCI0011,599.02,1.76768793,2G
41,20230212,OCI0011,1472.45,248.86,3G
42,20230212,OCI0011,,1417.4594,4G
43,20230212,OCI0012,378.17,1.14668089,2G
44,20230212,OCI0012,287.98,41.47,3G
45,20230212,OCI0012,,687.633916,4G
46,20230212,OCI0013,656.49,1.47910489,2G
47,20230212,OCI0013,1269.15,167.16,3G
48,20230212,OCI0013,,686.652673,4G
49,20230212,OCI0014,436.52,0.73998894,2G
50,20230212,OCI0014,1369.87,173.1,3G
51,20230212,OCI0014,,1040.596299,4G
52,20230212,OCI0015,613.9,1.25289218,2G
53,20230212,OCI0015,1128.5,126.03,3G
54,20230212,OCI0015,,884.045665,4G
55,20230212,OCI0016,1327.59,0.51802696,2G
56,20230212,OCI0016,820.63,53.7,3G
57,20230212,OCI0016,,266.84926,4G
58,20230212,OCI0017,638.74,1.35097735,2G
59,20230212,OCI0017,221.76,44.61,3G
60,20230212,OCI0017,,176.751443,4G
61,20230212,OCI0018,384.79,0.3888621,2G
62,20230212,OCI0018,379.1,80.6,3G
63,20230212,OCI0018,,161.007475,4G
64,20230212,OCI0019,365.87,0.80667888,2G
65,20230212,OCI0019,351.51,45.17,3G
66,20230212,OCI0019,,170.333658,4G
67,20230212,OCI0020,465.17,0.46508034,2G
68,20230212,OCI0020,1481.18,150.41,3G
69,20230212,OCI0020,,1233.872827,4G
70,20230212,OCI0021,1164.33,0.3754022,2G
71,20230212,OCI0021,206.25,51.9,3G
72,20230212,OCI0021,,36.839501,4G
