,date_jour,code_site,trafic_voix,trafic_data,techno
121,20230223,OCI0041,1228.53,149.07,3G
122,20230223,OCI0041,,737.79613,4G
123,20230223,OCI0042,730.17,1.10527514,2G
124,20230223,OCI0042,1910.73,266.02,3G
125,20230223,OCI0042,,1149.290934,4G
126,20230223,OCI0043,538.91,0.04713284,2G
127,20230223,OCI0043,273.41,29.22,3G
128,20230223,OCI0043,,39.399772,4G
129,20230223,OCI0044,941.66,1.39075117,2G
130,20230223,OCI0044,1643.58,234.11,3G
131,20230223,OCI0044,,1167.220709,4G
132,20230223,OCI0045,289.78,0.43889429,2G
133,20230223,OCI0045,493.6,63.2699999999999,3G
134,20230223,OCI0045,,233.380275,4G
135,20230223,OCI0046,354.15,0.4834149,2G
136,20230223,OCI0046,267.59,41.04,3G
137,20230223,OCI0046,,103.923966,4G
138,20230223,OCI0047,191.56,0.20634075,2G
139,20230223,OCI0047,96.94,11.72,3G
140,20230223,OCI0047,,29.115548,4G
141,20230223,OCI0048,192.61,0.11098367,2G
142,20230223,OCI0048,80.76,13.46,3G
143,20230223,OCI0048,,8.943452,4G
144,20230223,OCI0049,743.07,0.32991788,2G
145,20230223,OCI0049,384.86,72.33,3G
146,20230223,OCI0049,,148.828003,4G
147,20230223,OCI0050,861.67,0.75632807,2G
148,20230223,OCI0050,309.58,31.2,3G
149,20230223,OCI0050,,65.789667,4G
150,20230223,OCI0051,835.6,0.50527242,2G
151,20230223,OCI0051,1797.67,174.76,3G
152,20230223,OCI0051,,838.658221000001,4G
153,20230223,OCI0052,254.19,0.11459771,2G
154,20230223,OCI0052,356.23,52.87,3G
155,20230223,OCI0052,,155.701207,4G
156,20230223,OCI0053,363.03,0.41926112,2G
157,20230223,OCI0053,1862.41,157.96,3G
158,20230223,OCI0053,,856.002183,4G
159,20230223,OCI0054,165.8,0.12318388,2G
160,20230223,OCI0054,756.09,84.2800000000001,3G
161,20230223,OCI0054,,405.439938,4G
162,20230223,OCI0055,182.05,0.44210989,2G
163,20230223,OCI0055,33.14,11.11,3G
164,20230223,OCI0055,,51.222744,4G
165,20230223,OCI0056,928.88,2.53138964,2G
166,20230223,OCI0056,1976.0,408.25,3G
167,20230223,OCI0056,,1512.197546,4G
168,20230223,OCI0057,731.38,1.3929229,2G
169,20230223,OCI0057,1529.88,269.62,3G
170,20230223,OCI0057,,1197.437283,4G
171,20230223,OCI0058,70.54,0.23382684,2G
172,20230223,OCI0058,131.13,28.93,3G
173,20230223,OCI0058,,63.636113,4G
174,20230223,OCI0059,790.06,0.17669067,2G
175,20230223,OCI0059,225.97,15.09,3G
176,20230223,OCI0059,,16.823387,4G
177,20230223,OCI0060,578.88,0.25131652,2G
178,20230223,OCI0060,731.9,80.71,3G
179,20230223,OCI0060,,178.880851,4G
180,20230223,OCI0061,477.47,0.55285809,2G
181,20230223,OCI0061,1429.38,192.24,3G
182,20230223,OCI0061,,906.386048,4G
183,20230223,OCI0062,202.66,0.38952739,2G
184,20230223,OCI0062,79.62,9.07,3G
185,20230223,OCI0062,,76.431251,4G
186,20230223,OCI0063,796.94,1.16634308,2G
187,20230223,OCI0063,1284.43,227.5,3G
188,20230223,OCI0063,,724.21999,4G
189,20230223,OCI0064,498.69,0.74584423,2G
190,20230223,OCI0064,267.33,70.17,3G
191,20230223,OCI0065,204.92,0.65849224,2G
192,20230223,OCI0065,166.92,70.92,3G
