,date_jour,code_site,trafic_voix,trafic_data,techno
0,20230213,0,888.26,,3G
1,20230213,1,,152.101973,4G
2,20230213,2,,198.211647,4G
3,20230213,21,,61.805948,4G
4,20230213,22,,239.088893,4G
5,20230213,23,,115.347226,4G
6,20230213,3,,89.169252,4G
7,20230213,31,,40.830313,4G
8,20230213,32,,100.34788,4G
9,20230213,33,,72.718204,4G
10,20230213,OCI0001,839.07,1.2753905,2G
11,20230213,OCI0001,1108.92,139.19,3G
12,20230213,OCI0001,,684.299103,4G
13,20230213,OCI0002,376.9,0.47838697,2G
14,20230213,OCI0002,597.35,62.81,3G
15,20230213,OCI0002,,534.047574,4G
16,20230213,OCI0003,566.81,0.72992108,2G
17,20230213,OCI0003,786.67,189.1,3G
18,20230213,OCI0003,,284.390441,4G
19,20230213,OCI0004,639.43,1.00153552,2G
20,20230213,OCI0004,1361.03,216.29,3G
21,20230213,OCI0004,,1006.301399,4G
22,20230213,OCI0005,709.01,0.56155359,2G
23,20230213,OCI0005,938.37,211.42,3G
24,20230213,OCI0005,,1203.061634,4G
25,20230213,OCI0006,1176.11,0.77005128,2G
26,20230213,OCI0006,1246.34,179.56,3G
27,20230213,OCI0006,,1095.833462,4G
28,20230213,OCI0007,129.01,0.09949041,2G
29,20230213,OCI0007,603.93,46.44,3G
30,20230213,OCI0007,,247.255134,4G
31,20230213,OCI0008,173.55,0.08700195,2G
32,20230213,OCI0008,197.05,18.11,3G
33,20230213,OCI0008,,39.530292,4G
34,20230213,OCI0009,624.89,1.27179497,2G
35,20230213,OCI0009,2142.37,204.23,3G
36,20230213,OCI0009,,829.319031,4G
37,20230213,OCI0010,425.51,0.55460098,2G
38,20230213,OCI0010,1345.76,211.71,3G
39,20230213,OCI0010,,1174.505147,4G
40,20230213,OCI0011,573.86,1.453309,2G
41,20230213,OCI0011,1452.83,286.97,3G
42,20230213,OCI0011,,1342.594613,4G
43,20230213,OCI0012,528.57,1.2595546,2G
44,20230213,OCI0012,360.47,41.32,3G
45,20230213,OCI0012,,722.632118,4G
46,20230213,OCI0013,755.08,1.48654399,2G
47,20230213,OCI0013,1326.63,157.75,3G
48,20230213,OCI0013,,572.18368,4G
49,20230213,OCI0014,451.23,0.70702311,2G
50,20230213,OCI0014,1510.67,163.76,3G
51,20230213,OCI0014,,886.324583,4G
52,20230213,OCI0015,874.54,1.91964352,2G
53,20230213,OCI0015,1445.73,136.79,3G
54,20230213,OCI0015,,931.214551,4G
55,20230213,OCI0016,1286.45,0.57633542,2G
56,20230213,OCI0016,831.94,55.77,3G
57,20230213,OCI0016,,267.078296,4G
58,20230213,OCI0017,631.29,1.13470644,2G
59,20230213,OCI0017,232.85,51.04,3G
60,20230213,OCI0017,,184.487022,4G
61,20230213,OCI0018,379.24,0.47439161,2G
62,20230213,OCI0018,445.58,77.25,3G
63,20230213,OCI0018,,159.075731,4G
64,20230213,OCI0019,400.62,0.74656428,2G
65,20230213,OCI0019,354.87,44.38,3G
66,20230213,OCI0019,,130.11811,4G
67,20230213,OCI0020,486.06,0.42795919,2G
68,20230213,OCI0020,1599.17,134.93,3G
69,20230213,OCI0020,,1069.890625,4G
70,20230213,OCI0021,1165.08,0.40524098,2G
71,20230213,OCI0021,248.18,55.63,3G
72,20230213,OCI0021,,36.88832,4G
73,20230213,OCI0022,311.26,0.23860616,2G
74,20230213,OCI0022,526.34,63.14,3G
75,20230213,OCI0022,,183.74137,4G
