,date_jour,code_site,drop_after_tch_assign,techno
0,20230314,OCI0001,428,2G
1,20230314,OCI0002,212,2G
2,20230314,OCI0003,154,2G
3,20230314,OCI0004,440,2G
4,20230314,OCI0005,340,2G
5,20230314,OCI0006,335,2G
6,20230314,OCI0007,54,2G
7,20230314,OCI0008,73,2G
8,20230314,OCI0009,238,2G
9,20230314,OCI0010,155,2G
10,20230314,OCI0011,289,2G
11,20230314,OCI0012,158,2G
12,20230314,OCI0013,252,2G
13,20230314,OCI0014,101,2G
14,20230314,OCI0015,493,2G
15,20230314,OCI0016,753,2G
16,20230314,OCI0017,571,2G
17,20230314,OCI0018,302,2G
18,20230314,OCI0019,196,2G
19,20230314,OCI0020,165,2G
20,20230314,OCI0021,1198,2G
21,20230314,OCI0022,224,2G
22,20230314,OCI0023,266,2G
23,20230314,OCI0024,227,2G
24,20230314,OCI0025,646,2G
25,20230314,OCI0026,1514,2G
26,20230314,OCI0027,0,2G
27,20230314,OCI0028,470,2G
28,20230314,OCI0029,538,2G
29,20230314,OCI0030,283,2G
30,20230314,OCI0031,755,2G
31,20230314,OCI0032,4,2G
32,20230314,OCI0033,146,2G
33,20230314,OCI0034,2,2G
34,20230314,OCI0035,208,2G
35,20230314,OCI0036,284,2G
36,20230314,OCI0037,207,2G
37,20230314,OCI0038,449,2G
38,20230314,OCI0039,309,2G
39,20230314,OCI0041,190,2G
40,20230314,OCI0042,243,2G
41,20230314,OCI0043,400,2G
42,20230314,OCI0044,273,2G
43,20230314,OCI0045,181,2G
44,20230314,OCI0046,246,2G
45,20230314,OCI0047,146,2G
46,20230314,OCI0048,132,2G
47,20230314,OCI0049,836,2G
48,20230314,OCI0050,1558,2G
49,20230314,OCI0051,388,2G
50,20230314,OCI0052,127,2G
51,20230314,OCI0053,108,2G
52,20230314,OCI0054,94,2G
53,20230314,OCI0055,178,2G
54,20230314,OCI0056,379,2G
55,20230314,OCI0057,668,2G
56,20230314,OCI0058,49,2G
57,20230314,OCI0059,1489,2G
58,20230314,OCI0060,477,2G
59,20230314,OCI0061,165,2G
60,20230314,OCI0062,147,2G
61,20230314,OCI0063,364,2G
62,20230314,OCI0064,300,2G
63,20230314,OCI0065,334,2G
64,20230314,OCI0066,91,2G
65,20230314,OCI0067,461,2G
66,20230314,OCI0068,316,2G
67,20230314,OCI0069,148,2G
68,20230314,OCI0070,190,2G
69,20230314,OCI0071,148,2G
70,20230314,OCI0072,141,2G
71,20230314,OCI0073,187,2G
72,20230314,OCI0074,285,2G
73,20230314,OCI0075,339,2G
74,20230314,OCI0076,543,2G
75,20230314,OCI0077,178,2G
76,20230314,OCI0078,548,2G
77,20230314,OCI0080,232,2G
78,20230314,OCI0081,246,2G
79,20230314,OCI0082,71,2G
80,20230314,OCI0083,192,2G
81,20230314,OCI0084,205,2G
82,20230314,OCI0085,90,2G
83,20230314,OCI0086,147,2G
84,20230314,OCI0087,252,2G
85,20230314,OCI0088,174,2G
86,20230314,OCI0089,238,2G
87,20230314,OCI0090,67,2G
88,20230314,OCI0091,593,2G
89,20230314,OCI0092,1177,2G
90,20230314,OCI0093,974,2G
91,20230314,OCI0094,280,2G
92,20230314,OCI0095,105,2G
93,20230314,OCI0096,131,2G
94,20230314,OCI0097,703,2G
95,20230314,OCI0098,374,2G
96,20230314,OCI0099,54,2G
97,20230314,OCI0100,255,2G
98,20230314,OCI0101,286,2G
99,20230314,OCI0102,210,2G
100,20230314,OCI0104,394,2G
101,20230314,OCI0105,407,2G
102,20230314,OCI0106,239,2G
103,20230314,OCI0107,75,2G
104,20230314,OCI0108,221,2G
105,20230314,OCI0109,152,2G
106,20230314,OCI0110,78,2G
107,20230314,OCI0111,66,2G
108,20230314,OCI0112,1371,2G
109,20230314,OCI0113,354,2G
110,20230314,OCI0114,148,2G
111,20230314,OCI0115,150,2G
112,20230314,OCI0116,2143,2G
113,20230314,OCI0117,150,2G
114,20230314,OCI0118,1204,2G
115,20230314,OCI0119,946,2G
116,20230314,OCI0121,6,2G
117,20230314,OCI0122,788,2G
118,20230314,OCI0123,364,2G
119,20230314,OCI0124,65,2G
120,20230314,OCI0125,26,2G
121,20230314,OCI0127,476,2G
122,20230314,OCI0128,341,2G
123,20230314,OCI0129,614,2G
124,20230314,OCI0130,86,2G
125,20230314,OCI0132,108,2G
126,20230314,OCI0134,318,2G
127,20230314,OCI0135,414,2G
128,20230314,OCI0136,111,2G
129,20230314,OCI0137,200,2G
130,20230314,OCI0138,47,2G
131,20230314,OCI0139,619,2G
132,20230314,OCI0141,64,2G
133,20230314,OCI0142,742,2G
134,20230314,OCI0143,222,2G
135,20230314,OCI0144,244,2G
136,20230314,OCI0145,35,2G
137,20230314,OCI0146,184,2G
138,20230314,OCI0147,740,2G
139,20230314,OCI0148,136,2G
140,20230314,OCI0149,250,2G
141,20230314,OCI0150,514,2G
142,20230314,OCI0151,252,2G
143,20230314,OCI0152,808,2G
144,20230314,OCI0153,794,2G
145,20230314,OCI0154,163,2G
146,20230314,OCI0155,745,2G
147,20230314,OCI0156,242,2G
148,20230314,OCI0157,104,2G
149,20230314,OCI0158,914,2G
150,20230314,OCI0159,2408,2G
151,20230314,OCI0160,242,2G
152,20230314,OCI0161,96,2G
153,20230314,OCI0162,425,2G
154,20230314,OCI0163,627,2G
155,20230314,OCI0164,224,2G
156,20230314,OCI0165,95,2G
157,20230314,OCI0166,195,2G
158,20230314,OCI0167,387,2G
159,20230314,OCI0168,383,2G
160,20230314,OCI0169,447,2G
161,20230314,OCI0172,323,2G
162,20230314,OCI0173,238,2G
163,20230314,OCI0174,614,2G
164,20230314,OCI0175,665,2G
165,20230314,OCI0176,355,2G
166,20230314,OCI0177,160,2G
167,20230314,OCI0178,253,2G
168,20230314,OCI0179,706,2G
169,20230314,OCI0180,392,2G
170,20230314,OCI0181,1116,2G
171,20230314,OCI0182,321,2G
172,20230314,OCI0183,151,2G
173,20230314,OCI0184,84,2G
174,20230314,OCI0185,1314,2G
175,20230314,OCI0186,1036,2G
176,20230314,OCI0187,228,2G
177,20230314,OCI0188,108,2G
178,20230314,OCI0189,419,2G
179,20230314,OCI0190,381,2G
180,20230314,OCI0191,352,2G
181,20230314,OCI0192,426,2G
182,20230314,OCI0193,692,2G
183,20230314,OCI0194,391,2G
184,20230314,OCI0195,176,2G
185,20230314,OCI0196,337,2G
186,20230314,OCI0197,733,2G
187,20230314,OCI0198,219,2G
188,20230314,OCI0199,244,2G
189,20230314,OCI0200,70,2G
190,20230314,OCI0201,94,2G
191,20230314,OCI0202,104,2G
192,20230314,OCI0203,833,2G
193,20230314,OCI0204,282,2G
194,20230314,OCI0205,66,2G
195,20230314,OCI0206,525,2G
196,20230314,OCI0207,852,2G
197,20230314,OCI0208,630,2G
198,20230314,OCI0209,674,2G
199,20230314,OCI0210,426,2G
200,20230314,OCI0211,225,2G
201,20230314,OCI0212,249,2G
202,20230314,OCI0213,731,2G
203,20230314,OCI0214,333,2G
204,20230314,OCI0216,130,2G
205,20230314,OCI0219,2314,2G
206,20230314,OCI0220,276,2G
207,20230314,OCI0221,1142,2G
208,20230314,OCI0222,279,2G
209,20230314,OCI0223,110,2G
210,20230314,OCI0224,389,2G
211,20230314,OCI0225,485,2G
212,20230314,OCI0226,74,2G
213,20230314,OCI0227,1981,2G
214,20230314,OCI0228,253,2G
215,20230314,OCI0229,168,2G
216,20230314,OCI0230,691,2G
217,20230314,OCI0231,106,2G
218,20230314,OCI0232,663,2G
219,20230314,OCI0233,746,2G
