,date_jour,code_site,drop_after_tch_assign,techno
0,20230303,OCI0001,686,2G
1,20230303,OCI0002,365,2G
2,20230303,OCI0003,357,2G
3,20230303,OCI0004,472,2G
4,20230303,OCI0005,543,2G
5,20230303,OCI0006,539,2G
6,20230303,OCI0007,138,2G
7,20230303,OCI0008,227,2G
8,20230303,OCI0009,434,2G
9,20230303,OCI0010,259,2G
10,20230303,OCI0011,367,2G
11,20230303,OCI0012,201,2G
12,20230303,OCI0013,500,2G
13,20230303,OCI0014,247,2G
14,20230303,OCI0015,1007,2G
15,20230303,OCI0016,1546,2G
16,20230303,OCI0017,1406,2G
17,20230303,OCI0018,812,2G
18,20230303,OCI0019,413,2G
19,20230303,OCI0020,274,2G
20,20230303,OCI0021,2001,2G
21,20230303,OCI0022,424,2G
22,20230303,OCI0023,489,2G
23,20230303,OCI0024,392,2G
24,20230303,OCI0025,1029,2G
25,20230303,OCI0026,2556,2G
26,20230303,OCI0027,0,2G
27,20230303,OCI0028,885,2G
28,20230303,OCI0029,930,2G
29,20230303,OCI0030,585,2G
30,20230303,OCI0031,1251,2G
31,20230303,OCI0032,0,2G
32,20230303,OCI0033,397,2G
33,20230303,OCI0034,0,2G
34,20230303,OCI0035,271,2G
35,20230303,OCI0036,553,2G
36,20230303,OCI0037,478,2G
37,20230303,OCI0038,715,2G
38,20230303,OCI0039,553,2G
39,20230303,OCI0041,542,2G
40,20230303,OCI0042,570,2G
41,20230303,OCI0043,822,2G
42,20230303,OCI0044,640,2G
43,20230303,OCI0045,378,2G
44,20230303,OCI0046,500,2G
45,20230303,OCI0047,230,2G
46,20230303,OCI0048,353,2G
47,20230303,OCI0049,1436,2G
48,20230303,OCI0050,2144,2G
49,20230303,OCI0051,670,2G
50,20230303,OCI0052,298,2G
51,20230303,OCI0053,223,2G
52,20230303,OCI0054,206,2G
53,20230303,OCI0055,399,2G
54,20230303,OCI0056,630,2G
55,20230303,OCI0057,1179,2G
56,20230303,OCI0058,59,2G
57,20230303,OCI0059,2220,2G
58,20230303,OCI0060,642,2G
59,20230303,OCI0061,768,2G
60,20230303,OCI0062,233,2G
61,20230303,OCI0063,599,2G
62,20230303,OCI0064,713,2G
63,20230303,OCI0065,641,2G
64,20230303,OCI0066,164,2G
65,20230303,OCI0067,654,2G
66,20230303,OCI0068,570,2G
67,20230303,OCI0069,253,2G
68,20230303,OCI0070,384,2G
69,20230303,OCI0071,246,2G
70,20230303,OCI0072,258,2G
71,20230303,OCI0073,314,2G
72,20230303,OCI0074,415,2G
73,20230303,OCI0075,522,2G
74,20230303,OCI0076,944,2G
75,20230303,OCI0077,380,2G
76,20230303,OCI0078,877,2G
77,20230303,OCI0080,476,2G
78,20230303,OCI0081,330,2G
79,20230303,OCI0082,210,2G
80,20230303,OCI0083,302,2G
81,20230303,OCI0084,424,2G
82,20230303,OCI0085,202,2G
83,20230303,OCI0086,252,2G
84,20230303,OCI0087,496,2G
85,20230303,OCI0088,331,2G
86,20230303,OCI0089,334,2G
87,20230303,OCI0090,118,2G
88,20230303,OCI0091,1149,2G
89,20230303,OCI0092,2253,2G
90,20230303,OCI0093,1621,2G
91,20230303,OCI0094,524,2G
92,20230303,OCI0095,182,2G
93,20230303,OCI0096,210,2G
94,20230303,OCI0097,1237,2G
95,20230303,OCI0098,684,2G
96,20230303,OCI0099,100,2G
97,20230303,OCI0100,425,2G
98,20230303,OCI0101,518,2G
99,20230303,OCI0102,379,2G
100,20230303,OCI0104,983,2G
101,20230303,OCI0105,772,2G
102,20230303,OCI0106,389,2G
103,20230303,OCI0107,205,2G
104,20230303,OCI0108,343,2G
105,20230303,OCI0109,177,2G
106,20230303,OCI0110,197,2G
107,20230303,OCI0111,86,2G
108,20230303,OCI0112,2949,2G
109,20230303,OCI0113,553,2G
110,20230303,OCI0114,398,2G
111,20230303,OCI0115,210,2G
112,20230303,OCI0116,4170,2G
113,20230303,OCI0117,553,2G
114,20230303,OCI0118,2180,2G
115,20230303,OCI0119,2149,2G
