,date_jour,code_site,drop_after_tch_assign,techno
0,20230213,OCI0001,1142,2G
1,20230213,OCI0002,548,2G
2,20230213,OCI0003,465,2G
3,20230213,OCI0004,685,2G
4,20230213,OCI0005,628,2G
5,20230213,OCI0006,644,2G
6,20230213,OCI0007,90,2G
7,20230213,OCI0008,183,2G
8,20230213,OCI0009,464,2G
9,20230213,OCI0010,346,2G
10,20230213,OCI0011,528,2G
11,20230213,OCI0012,312,2G
12,20230213,OCI0013,718,2G
13,20230213,OCI0014,287,2G
14,20230213,OCI0015,725,2G
15,20230213,OCI0016,1571,2G
16,20230213,OCI0017,1235,2G
17,20230213,OCI0018,617,2G
18,20230213,OCI0019,297,2G
19,20230213,OCI0020,587,2G
20,20230213,OCI0021,2364,2G
21,20230213,OCI0022,501,2G
22,20230213,OCI0023,563,2G
23,20230213,OCI0024,382,2G
24,20230213,OCI0025,1218,2G
25,20230213,OCI0026,3517,2G
26,20230213,OCI0027,0,2G
27,20230213,OCI0028,1241,2G
28,20230213,OCI0029,1222,2G
29,20230213,OCI0030,400,2G
30,20230213,OCI0031,1706,2G
31,20230213,OCI0032,4,2G
32,20230213,OCI0033,340,2G
33,20230213,OCI0034,24,2G
34,20230213,OCI0035,335,2G
35,20230213,OCI0036,641,2G
36,20230213,OCI0037,447,2G
37,20230213,OCI0038,968,2G
38,20230213,OCI0039,765,2G
39,20230213,OCI0041,453,2G
40,20230213,OCI0042,557,2G
41,20230213,OCI0043,910,2G
42,20230213,OCI0044,643,2G
43,20230213,OCI0045,409,2G
44,20230213,OCI0046,373,2G
45,20230213,OCI0047,321,2G
46,20230213,OCI0048,362,2G
47,20230213,OCI0049,1634,2G
48,20230213,OCI0050,2110,2G
49,20230213,OCI0051,783,2G
50,20230213,OCI0052,326,2G
51,20230213,OCI0053,357,2G
52,20230213,OCI0054,147,2G
53,20230213,OCI0055,473,2G
54,20230213,OCI0056,689,2G
55,20230213,OCI0057,1219,2G
56,20230213,OCI0058,70,2G
57,20230213,OCI0059,2801,2G
58,20230213,OCI0060,690,2G
59,20230213,OCI0061,501,2G
60,20230213,OCI0062,351,2G
61,20230213,OCI0063,681,2G
62,20230213,OCI0064,532,2G
63,20230213,OCI0065,657,2G
64,20230213,OCI0066,213,2G
65,20230213,OCI0067,680,2G
66,20230213,OCI0068,515,2G
67,20230213,OCI0069,383,2G
68,20230213,OCI0070,660,2G
69,20230213,OCI0071,352,2G
70,20230213,OCI0072,257,2G
71,20230213,OCI0073,270,2G
72,20230213,OCI0074,468,2G
73,20230213,OCI0075,566,2G
74,20230213,OCI0076,1661,2G
75,20230213,OCI0077,683,2G
76,20230213,OCI0078,1398,2G
77,20230213,OCI0080,551,2G
78,20230213,OCI0081,558,2G
79,20230213,OCI0082,229,2G
80,20230213,OCI0083,513,2G
81,20230213,OCI0084,314,2G
82,20230213,OCI0085,228,2G
83,20230213,OCI0086,349,2G
84,20230213,OCI0087,589,2G
85,20230213,OCI0088,331,2G
86,20230213,OCI0089,486,2G
87,20230213,OCI0090,139,2G
88,20230213,OCI0091,1132,2G
89,20230213,OCI0092,2182,2G
90,20230213,OCI0093,1953,2G
91,20230213,OCI0094,965,2G
92,20230213,OCI0095,308,2G
93,20230213,OCI0096,265,2G
94,20230213,OCI0097,1297,2G
95,20230213,OCI0098,614,2G
96,20230213,OCI0099,106,2G
97,20230213,OCI0100,420,2G
98,20230213,OCI0101,774,2G
99,20230213,OCI0102,404,2G
100,20230213,OCI0104,835,2G
101,20230213,OCI0105,830,2G
102,20230213,OCI0106,368,2G
103,20230213,OCI0107,212,2G
104,20230213,OCI0108,318,2G
105,20230213,OCI0109,281,2G
106,20230213,OCI0110,174,2G
107,20230213,OCI0111,128,2G
108,20230213,OCI0112,3212,2G
109,20230213,OCI0113,551,2G
110,20230213,OCI0114,322,2G
111,20230213,OCI0115,205,2G
112,20230213,OCI0116,5057,2G
113,20230213,OCI0117,434,2G
114,20230213,OCI0118,2418,2G
115,20230213,OCI0119,2093,2G
116,20230213,OCI0121,18,2G
117,20230213,OCI0122,1347,2G
118,20230213,OCI0123,857,2G
119,20230213,OCI0124,164,2G
120,20230213,OCI0125,58,2G
121,20230213,OCI0127,1358,2G
122,20230213,OCI0128,782,2G
123,20230213,OCI0129,825,2G
124,20230213,OCI0130,259,2G
125,20230213,OCI0132,243,2G
126,20230213,OCI0134,572,2G
