,date_jour,code_site,drop_after_tch_assign,techno
0,20230202,OCI0001,1186,2G
1,20230202,OCI0002,578,2G
2,20230202,OCI0003,348,2G
3,20230202,OCI0004,769,2G
4,20230202,OCI0005,687,2G
5,20230202,OCI0006,619,2G
6,20230202,OCI0007,97,2G
7,20230202,OCI0008,203,2G
8,20230202,OCI0009,407,2G
9,20230202,OCI0010,348,2G
10,20230202,OCI0011,506,2G
11,20230202,OCI0012,312,2G
12,20230202,OCI0013,710,2G
13,20230202,OCI0014,245,2G
14,20230202,OCI0015,865,2G
15,20230202,OCI0016,1804,2G
16,20230202,OCI0017,1350,2G
17,20230202,OCI0018,674,2G
18,20230202,OCI0019,506,2G
19,20230202,OCI0020,592,2G
20,20230202,OCI0021,2368,2G
21,20230202,OCI0022,489,2G
22,20230202,OCI0023,543,2G
23,20230202,OCI0024,484,2G
24,20230202,OCI0025,1244,2G
25,20230202,OCI0026,3348,2G
26,20230202,OCI0027,0,2G
27,20230202,OCI0028,1394,2G
28,20230202,OCI0029,1272,2G
29,20230202,OCI0030,469,2G
30,20230202,OCI0031,2138,2G
31,20230202,OCI0032,15,2G
32,20230202,OCI0033,274,2G
33,20230202,OCI0034,10,2G
34,20230202,OCI0035,352,2G
35,20230202,OCI0036,699,2G
36,20230202,OCI0037,546,2G
37,20230202,OCI0038,1365,2G
38,20230202,OCI0039,717,2G
39,20230202,OCI0041,322,2G
40,20230202,OCI0042,601,2G
41,20230202,OCI0043,895,2G
42,20230202,OCI0044,620,2G
43,20230202,OCI0045,427,2G
44,20230202,OCI0046,527,2G
45,20230202,OCI0047,282,2G
46,20230202,OCI0048,529,2G
47,20230202,OCI0049,2122,2G
48,20230202,OCI0050,1944,2G
49,20230202,OCI0051,738,2G
50,20230202,OCI0052,333,2G
51,20230202,OCI0053,348,2G
52,20230202,OCI0054,185,2G
53,20230202,OCI0055,598,2G
54,20230202,OCI0056,684,2G
55,20230202,OCI0057,1086,2G
56,20230202,OCI0058,75,2G
57,20230202,OCI0059,2444,2G
58,20230202,OCI0060,645,2G
59,20230202,OCI0061,538,2G
60,20230202,OCI0062,334,2G
61,20230202,OCI0063,885,2G
62,20230202,OCI0064,645,2G
63,20230202,OCI0065,816,2G
64,20230202,OCI0066,290,2G
65,20230202,OCI0067,510,2G
66,20230202,OCI0068,534,2G
67,20230202,OCI0069,354,2G
68,20230202,OCI0070,1085,2G
69,20230202,OCI0071,332,2G
70,20230202,OCI0072,313,2G
71,20230202,OCI0073,299,2G
72,20230202,OCI0074,409,2G
73,20230202,OCI0075,732,2G
74,20230202,OCI0076,1495,2G
75,20230202,OCI0077,593,2G
76,20230202,OCI0078,1021,2G
77,20230202,OCI0080,495,2G
78,20230202,OCI0081,489,2G
79,20230202,OCI0082,206,2G
80,20230202,OCI0083,361,2G
81,20230202,OCI0084,395,2G
82,20230202,OCI0085,229,2G
83,20230202,OCI0086,438,2G
84,20230202,OCI0087,452,2G
85,20230202,OCI0088,403,2G
86,20230202,OCI0089,382,2G
87,20230202,OCI0090,100,2G
88,20230202,OCI0091,1315,2G
89,20230202,OCI0092,2298,2G
90,20230202,OCI0093,1768,2G
91,20230202,OCI0094,798,2G
92,20230202,OCI0095,315,2G
93,20230202,OCI0096,243,2G
94,20230202,OCI0097,1295,2G
95,20230202,OCI0098,669,2G
96,20230202,OCI0099,125,2G
97,20230202,OCI0100,502,2G
98,20230202,OCI0101,2473,2G
99,20230202,OCI0102,343,2G
100,20230202,OCI0104,920,2G
101,20230202,OCI0105,933,2G
102,20230202,OCI0106,347,2G
103,20230202,OCI0107,186,2G
104,20230202,OCI0108,486,2G
105,20230202,OCI0109,344,2G
106,20230202,OCI0110,175,2G
107,20230202,OCI0111,105,2G
108,20230202,OCI0112,3190,2G
109,20230202,OCI0113,644,2G
110,20230202,OCI0114,482,2G
111,20230202,OCI0115,260,2G
112,20230202,OCI0116,4502,2G
113,20230202,OCI0117,384,2G
114,20230202,OCI0118,2137,2G
115,20230202,OCI0119,1782,2G
116,20230202,OCI0121,20,2G
117,20230202,OCI0122,1240,2G
118,20230202,OCI0123,700,2G
119,20230202,OCI0124,150,2G
120,20230202,OCI0125,85,2G
121,20230202,OCI0127,980,2G
122,20230202,OCI0128,653,2G
123,20230202,OCI0129,1161,2G
124,20230202,OCI0130,201,2G
125,20230202,OCI0132,283,2G
126,20230202,OCI0134,643,2G
