,date_jour,code_site,drop_after_tch_assign,techno
0,20230221,OCI0001,1559,2G
1,20230221,OCI0002,390,2G
2,20230221,OCI0003,269,2G
3,20230221,OCI0004,540,2G
4,20230221,OCI0005,458,2G
5,20230221,OCI0006,442,2G
6,20230221,OCI0007,108,2G
7,20230221,OCI0008,218,2G
8,20230221,OCI0009,365,2G
9,20230221,OCI0010,230,2G
10,20230221,OCI0011,314,2G
11,20230221,OCI0012,268,2G
12,20230221,OCI0013,460,2G
13,20230221,OCI0014,206,2G
14,20230221,OCI0015,640,2G
15,20230221,OCI0016,1114,2G
16,20230221,OCI0017,1062,2G
17,20230221,OCI0018,434,2G
18,20230221,OCI0019,339,2G
19,20230221,OCI0020,420,2G
20,20230221,OCI0021,1943,2G
21,20230221,OCI0022,393,2G
22,20230221,OCI0023,386,2G
23,20230221,OCI0024,383,2G
24,20230221,OCI0025,880,2G
25,20230221,OCI0026,1806,2G
26,20230221,OCI0027,0,2G
27,20230221,OCI0028,797,2G
28,20230221,OCI0029,1233,2G
29,20230221,OCI0030,422,2G
30,20230221,OCI0031,1268,2G
31,20230221,OCI0032,0,2G
32,20230221,OCI0033,222,2G
33,20230221,OCI0034,0,2G
34,20230221,OCI0035,360,2G
35,20230221,OCI0036,465,2G
36,20230221,OCI0037,305,2G
37,20230221,OCI0038,604,2G
38,20230221,OCI0039,506,2G
39,20230221,OCI0041,378,2G
40,20230221,OCI0042,331,2G
41,20230221,OCI0043,655,2G
42,20230221,OCI0044,584,2G
43,20230221,OCI0045,367,2G
44,20230221,OCI0046,255,2G
45,20230221,OCI0047,258,2G
46,20230221,OCI0048,302,2G
47,20230221,OCI0049,1289,2G
48,20230221,OCI0050,1574,2G
49,20230221,OCI0051,484,2G
50,20230221,OCI0052,187,2G
51,20230221,OCI0053,379,2G
52,20230221,OCI0054,172,2G
53,20230221,OCI0055,298,2G
54,20230221,OCI0056,613,2G
55,20230221,OCI0057,908,2G
56,20230221,OCI0058,72,2G
57,20230221,OCI0059,1917,2G
58,20230221,OCI0060,493,2G
59,20230221,OCI0061,343,2G
60,20230221,OCI0062,232,2G
61,20230221,OCI0063,652,2G
62,20230221,OCI0064,404,2G
63,20230221,OCI0065,548,2G
64,20230221,OCI0066,181,2G
65,20230221,OCI0067,535,2G
66,20230221,OCI0068,664,2G
67,20230221,OCI0069,230,2G
68,20230221,OCI0070,387,2G
69,20230221,OCI0071,347,2G
70,20230221,OCI0072,209,2G
71,20230221,OCI0073,315,2G
72,20230221,OCI0074,403,2G
73,20230221,OCI0075,445,2G
74,20230221,OCI0076,699,2G
75,20230221,OCI0077,588,2G
76,20230221,OCI0078,896,2G
77,20230221,OCI0080,344,2G
78,20230221,OCI0081,338,2G
79,20230221,OCI0082,219,2G
80,20230221,OCI0083,293,2G
81,20230221,OCI0084,257,2G
82,20230221,OCI0085,197,2G
83,20230221,OCI0086,357,2G
84,20230221,OCI0087,435,2G
85,20230221,OCI0088,287,2G
86,20230221,OCI0089,359,2G
87,20230221,OCI0090,109,2G
88,20230221,OCI0091,977,2G
89,20230221,OCI0092,2371,2G
90,20230221,OCI0093,1342,2G
91,20230221,OCI0094,415,2G
92,20230221,OCI0095,215,2G
93,20230221,OCI0096,172,2G
94,20230221,OCI0097,935,2G
95,20230221,OCI0098,419,2G
96,20230221,OCI0099,77,2G
97,20230221,OCI0100,433,2G
98,20230221,OCI0101,721,2G
99,20230221,OCI0102,289,2G
100,20230221,OCI0104,668,2G
101,20230221,OCI0105,726,2G
102,20230221,OCI0106,280,2G
103,20230221,OCI0107,120,2G
104,20230221,OCI0108,384,2G
105,20230221,OCI0109,222,2G
106,20230221,OCI0110,141,2G
107,20230221,OCI0111,86,2G
108,20230221,OCI0112,2369,2G
109,20230221,OCI0113,412,2G
110,20230221,OCI0114,289,2G
111,20230221,OCI0115,218,2G
112,20230221,OCI0116,3184,2G
113,20230221,OCI0117,421,2G
114,20230221,OCI0118,1748,2G
115,20230221,OCI0119,1337,2G
116,20230221,OCI0121,89,2G
117,20230221,OCI0122,1008,2G
118,20230221,OCI0123,527,2G
119,20230221,OCI0124,135,2G
120,20230221,OCI0125,123,2G
121,20230221,OCI0127,774,2G
122,20230221,OCI0128,605,2G
