,date_jour,code_site,drop_after_tch_assign,techno
0,20230219,313,0,2G
1,20230219,315,0,2G
2,20230219,78,0,2G
3,20230219,OCI0001,2842,2G
4,20230219,OCI0002,311,2G
5,20230219,OCI0003,407,2G
6,20230219,OCI0004,911,2G
7,20230219,OCI0005,459,2G
8,20230219,OCI0006,540,2G
9,20230219,OCI0007,47,2G
10,20230219,OCI0008,255,2G
11,20230219,OCI0009,408,2G
12,20230219,OCI0010,296,2G
13,20230219,OCI0011,524,2G
14,20230219,OCI0012,307,2G
15,20230219,OCI0013,547,2G
16,20230219,OCI0014,199,2G
17,20230219,OCI0015,751,2G
18,20230219,OCI0016,1370,2G
19,20230219,OCI0017,1439,2G
20,20230219,OCI0018,857,2G
21,20230219,OCI0019,417,2G
22,20230219,OCI0020,490,2G
23,20230219,OCI0021,2515,2G
24,20230219,OCI0022,391,2G
25,20230219,OCI0023,521,2G
26,20230219,OCI0024,427,2G
27,20230219,OCI0025,1115,2G
28,20230219,OCI0026,2471,2G
29,20230219,OCI0027,0,2G
30,20230219,OCI0028,1242,2G
31,20230219,OCI0029,1420,2G
32,20230219,OCI0030,392,2G
33,20230219,OCI0031,1910,2G
34,20230219,OCI0032,5,2G
35,20230219,OCI0033,254,2G
36,20230219,OCI0034,10,2G
37,20230219,OCI0035,365,2G
38,20230219,OCI0036,737,2G
39,20230219,OCI0037,476,2G
40,20230219,OCI0038,597,2G
41,20230219,OCI0039,544,2G
42,20230219,OCI0041,286,2G
43,20230219,OCI0042,500,2G
44,20230219,OCI0043,1097,2G
45,20230219,OCI0044,570,2G
46,20230219,OCI0045,358,2G
47,20230219,OCI0046,419,2G
48,20230219,OCI0047,409,2G
49,20230219,OCI0048,324,2G
50,20230219,OCI0049,2242,2G
51,20230219,OCI0050,1947,2G
52,20230219,OCI0051,694,2G
53,20230219,OCI0052,217,2G
54,20230219,OCI0053,320,2G
55,20230219,OCI0054,204,2G
56,20230219,OCI0055,381,2G
57,20230219,OCI0056,665,2G
58,20230219,OCI0057,1101,2G
59,20230219,OCI0058,120,2G
60,20230219,OCI0059,2834,2G
61,20230219,OCI0060,631,2G
62,20230219,OCI0061,462,2G
63,20230219,OCI0062,272,2G
64,20230219,OCI0063,651,2G
65,20230219,OCI0064,636,2G
66,20230219,OCI0065,632,2G
67,20230219,OCI0066,239,2G
68,20230219,OCI0067,864,2G
69,20230219,OCI0068,459,2G
70,20230219,OCI0069,227,2G
71,20230219,OCI0070,583,2G
72,20230219,OCI0071,306,2G
73,20230219,OCI0072,134,2G
74,20230219,OCI0073,338,2G
75,20230219,OCI0074,528,2G
76,20230219,OCI0075,570,2G
77,20230219,OCI0076,1404,2G
78,20230219,OCI0077,662,2G
79,20230219,OCI0078,1319,2G
80,20230219,OCI0080,540,2G
81,20230219,OCI0081,441,2G
82,20230219,OCI0082,243,2G
83,20230219,OCI0083,401,2G
84,20230219,OCI0084,367,2G
85,20230219,OCI0085,315,2G
86,20230219,OCI0086,293,2G
87,20230219,OCI0087,554,2G
88,20230219,OCI0088,372,2G
89,20230219,OCI0089,330,2G
90,20230219,OCI0090,25,2G
91,20230219,OCI0091,1174,2G
92,20230219,OCI0092,5386,2G
93,20230219,OCI0093,1983,2G
94,20230219,OCI0094,763,2G
95,20230219,OCI0095,238,2G
96,20230219,OCI0096,340,2G
97,20230219,OCI0097,1081,2G
98,20230219,OCI0098,671,2G
99,20230219,OCI0099,50,2G
100,20230219,OCI0100,606,2G
101,20230219,OCI0101,877,2G
102,20230219,OCI0102,354,2G
103,20230219,OCI0104,967,2G
104,20230219,OCI0105,671,2G
105,20230219,OCI0106,442,2G
106,20230219,OCI0107,170,2G
107,20230219,OCI0108,530,2G
108,20230219,OCI0109,285,2G
109,20230219,OCI0110,197,2G
110,20230219,OCI0111,35,2G
111,20230219,OCI0112,3194,2G
112,20230219,OCI0113,686,2G
113,20230219,OCI0114,150,2G
114,20230219,OCI0115,192,2G
115,20230219,OCI0116,4936,2G
116,20230219,OCI0117,431,2G
117,20230219,OCI0118,1938,2G
118,20230219,OCI0119,2025,2G
119,20230219,OCI0121,10,2G
120,20230219,OCI0122,1234,2G
121,20230219,OCI0123,884,2G
122,20230219,OCI0124,40,2G
123,20230219,OCI0125,85,2G
124,20230219,OCI0127,1221,2G
125,20230219,OCI0128,822,2G
126,20230219,OCI0129,1062,2G
127,20230219,OCI0130,116,2G
128,20230219,OCI0132,207,2G
129,20230219,OCI0134,564,2G
130,20230219,OCI0135,856,2G
131,20230219,OCI0136,183,2G
132,20230219,OCI0137,564,2G
133,20230219,OCI0138,123,2G
134,20230219,OCI0139,1910,2G
135,20230219,OCI0141,59,2G
136,20230219,OCI0142,1031,2G
137,20230219,OCI0143,30,2G
138,20230219,OCI0144,586,2G
139,20230219,OCI0145,65,2G
140,20230219,OCI0146,400,2G
141,20230219,OCI0147,1411,2G
142,20230219,OCI0148,385,2G
143,20230219,OCI0149,728,2G
144,20230219,OCI0150,1282,2G
145,20230219,OCI0151,419,2G
146,20230219,OCI0152,1320,2G
147,20230219,OCI0153,1259,2G
148,20230219,OCI0154,282,2G
149,20230219,OCI0155,1641,2G
150,20230219,OCI0156,387,2G
151,20230219,OCI0157,140,2G
152,20230219,OCI0158,1926,2G
153,20230219,OCI0159,4825,2G
154,20230219,OCI0160,613,2G
155,20230219,OCI0161,292,2G
156,20230219,OCI0162,642,2G
157,20230219,OCI0163,2172,2G
158,20230219,OCI0164,571,2G
159,20230219,OCI0165,132,2G
160,20230219,OCI0166,330,2G
161,20230219,OCI0167,901,2G
162,20230219,OCI0168,682,2G
163,20230219,OCI0169,1079,2G
164,20230219,OCI0172,843,2G
165,20230219,OCI0173,553,2G
166,20230219,OCI0174,839,2G
167,20230219,OCI0175,1190,2G
168,20230219,OCI0176,819,2G
169,20230219,OCI0177,274,2G
170,20230219,OCI0178,487,2G
171,20230219,OCI0179,1115,2G
172,20230219,OCI0180,729,2G
173,20230219,OCI0181,3109,2G
174,20230219,OCI0182,489,2G
175,20230219,OCI0183,270,2G
176,20230219,OCI0184,105,2G
177,20230219,OCI0185,2191,2G
178,20230219,OCI0186,1730,2G
179,20230219,OCI0187,262,2G
180,20230219,OCI0188,185,2G
181,20230219,OCI0189,1371,2G
182,20230219,OCI0190,263,2G
183,20230219,OCI0191,726,2G
184,20230219,OCI0192,418,2G
185,20230219,OCI0193,1087,2G
186,20230219,OCI0194,1173,2G
187,20230219,OCI0195,330,2G
188,20230219,OCI0196,181,2G
189,20230219,OCI0197,1594,2G
190,20230219,OCI0198,350,2G
191,20230219,OCI0199,545,2G
192,20230219,OCI0200,254,2G
193,20230219,OCI0201,639,2G
194,20230219,OCI0202,125,2G
195,20230219,OCI0203,1220,2G
196,20230219,OCI0204,692,2G
197,20230219,OCI0205,123,2G
198,20230219,OCI0206,853,2G
199,20230219,OCI0207,1536,2G
200,20230219,OCI0208,1258,2G
201,20230219,OCI0209,438,2G
202,20230219,OCI0210,771,2G
203,20230219,OCI0211,383,2G
204,20230219,OCI0212,636,2G
205,20230219,OCI0213,1628,2G
206,20230219,OCI0214,678,2G
207,20230219,OCI0216,165,2G
208,20230219,OCI0219,3938,2G
209,20230219,OCI0220,571,2G
210,20230219,OCI0221,1882,2G
211,20230219,OCI0222,643,2G
212,20230219,OCI0223,119,2G
213,20230219,OCI0224,565,2G
214,20230219,OCI0225,800,2G
215,20230219,OCI0226,42,2G
216,20230219,OCI0227,3639,2G
217,20230219,OCI0228,628,2G
218,20230219,OCI0229,269,2G
219,20230219,OCI0230,392,2G
220,20230219,OCI0231,361,2G
221,20230219,OCI0232,980,2G
222,20230219,OCI0233,1157,2G
223,20230219,OCI0234,2680,2G
224,20230219,OCI0235,57,2G
225,20230219,OCI0236,554,2G
226,20230219,OCI0237,294,2G
227,20230219,OCI0238,910,2G
228,20230219,OCI0239,1030,2G
229,20230219,OCI0240,779,2G
230,20230219,OCI0241,1147,2G
231,20230219,OCI0242,302,2G
232,20230219,OCI0243,163,2G
233,20230219,OCI0244,188,2G
234,20230219,OCI0245,18,2G
235,20230219,OCI0246,220,2G
236,20230219,OCI0247,2200,2G
237,20230219,OCI0248,1262,2G
238,20230219,OCI0249,659,2G
239,20230219,OCI0250,425,2G
240,20230219,OCI0251,575,2G
241,20230219,OCI0252,155,2G
242,20230219,OCI0253,308,2G
243,20230219,OCI0254,645,2G
244,20230219,OCI0255,647,2G
245,20230219,OCI0256,669,2G
246,20230219,OCI0257,1535,2G
247,20230219,OCI0258,290,2G
248,20230219,OCI0259,287,2G
249,20230219,OCI0260,474,2G
250,20230219,OCI0261,1920,2G
251,20230219,OCI0262,2614,2G
252,20230219,OCI0263,2561,2G
253,20230219,OCI0264,3449,2G
254,20230219,OCI0265,927,2G
255,20230219,OCI0266,3883,2G
256,20230219,OCI0267,2108,2G
257,20230219,OCI0268,2713,2G
258,20230219,OCI0269,2534,2G
259,20230219,OCI0270,1056,2G
260,20230219,OCI0271,250,2G
261,20230219,OCI0272,302,2G
262,20230219,OCI0273,570,2G
263,20230219,OCI0274,950,2G
264,20230219,OCI0275,142,2G
265,20230219,OCI0276,1945,2G
266,20230219,OCI0277,49,2G
267,20230219,OCI0278,0,2G
268,20230219,OCI0279,434,2G
269,20230219,OCI0280,432,2G
270,20230219,OCI0281,15,2G
271,20230219,OCI0282,104,2G
272,20230219,OCI0283,527,2G
273,20230219,OCI0284,819,2G
274,20230219,OCI0285,366,2G
275,20230219,OCI0286,351,2G
276,20230219,OCI0287,257,2G
277,20230219,OCI0288,971,2G
278,20230219,OCI0291,514,2G
279,20230219,OCI0292,30,2G
280,20230219,OCI0293,6834,2G
281,20230219,OCI0294,502,2G
282,20230219,OCI0295,385,2G
283,20230219,OCI0297,322,2G
284,20230219,OCI0298,450,2G
285,20230219,OCI0299,477,2G
286,20230219,OCI0300,405,2G
287,20230219,OCI0301,490,2G
288,20230219,OCI0302,64,2G
289,20230219,OCI0303,461,2G
290,20230219,OCI0304,251,2G
291,20230219,OCI0305,503,2G
292,20230219,OCI0306,571,2G
293,20230219,OCI0307,94,2G
294,20230219,OCI0308,65,2G
295,20230219,OCI0309,998,2G
296,20230219,OCI0311,169,2G
297,20230219,OCI0312,72,2G
298,20230219,OCI0313,581,2G
299,20230219,OCI0314,154,2G
300,20230219,OCI0315,1193,2G
301,20230219,OCI0316,779,2G
302,20230219,OCI0317,1161,2G
303,20230219,OCI0319,1167,2G
304,20230219,OCI0320,1159,2G
305,20230219,OCI0321,215,2G
306,20230219,OCI0322,417,2G
307,20230219,OCI0323,2041,2G
308,20230219,OCI0324,600,2G
309,20230219,OCI0325,2184,2G
310,20230219,OCI0326,1290,2G
311,20230219,OCI0327,429,2G
312,20230219,OCI0328,942,2G
313,20230219,OCI0329,1454,2G
314,20230219,OCI0330,589,2G
315,20230219,OCI0331,2938,2G
316,20230219,OCI0332,430,2G
317,20230219,OCI0333,1789,2G
318,20230219,OCI0334,3486,2G
319,20230219,OCI0335,1435,2G
320,20230219,OCI0336,1216,2G
321,20230219,OCI0337,485,2G
322,20230219,OCI0338,473,2G
323,20230219,OCI0339,528,2G
324,20230219,OCI0341,1376,2G
325,20230219,OCI0342,130,2G
326,20230219,OCI0343,357,2G
327,20230219,OCI0344,42,2G
328,20230219,OCI0345,2566,2G
329,20230219,OCI0347,487,2G
330,20230219,OCI0348,628,2G
331,20230219,OCI0349,672,2G
332,20230219,OCI0350,2469,2G
333,20230219,OCI0351,586,2G
334,20230219,OCI0352,262,2G
335,20230219,OCI0353,210,2G
336,20230219,OCI0354,728,2G
337,20230219,OCI0355,1007,2G
338,20230219,OCI0356,360,2G
339,20230219,OCI0357,2316,2G
340,20230219,OCI0358,183,2G
341,20230219,OCI0359,282,2G
342,20230219,OCI0360,481,2G
343,20230219,OCI0361,2898,2G
344,20230219,OCI0362,492,2G
345,20230219,OCI0363,1368,2G
346,20230219,OCI0364,537,2G
347,20230219,OCI0365,740,2G
348,20230219,OCI0366,168,2G
349,20230219,OCI0367,1122,2G
350,20230219,OCI0368,724,2G
351,20230219,OCI0369,658,2G
352,20230219,OCI0370,380,2G
353,20230219,OCI0371,157,2G
354,20230219,OCI0372,437,2G
355,20230219,OCI0373,755,2G
356,20230219,OCI0374,1098,2G
357,20230219,OCI0375,1615,2G
358,20230219,OCI0376,306,2G
359,20230219,OCI0377,2765,2G
360,20230219,OCI0378,2690,2G
361,20230219,OCI0379,614,2G
362,20230219,OCI0380,1527,2G
363,20230219,OCI0381,300,2G
364,20230219,OCI0382,555,2G
365,20230219,OCI0383,878,2G
366,20230219,OCI0384,3938,2G
367,20230219,OCI0385,98,2G
368,20230219,OCI0386,2770,2G
369,20230219,OCI0387,1121,2G
370,20230219,OCI0388,2158,2G
371,20230219,OCI0389,2131,2G
372,20230219,OCI0390,2019,2G
373,20230219,OCI0391,1009,2G
374,20230219,OCI0392,749,2G
375,20230219,OCI0393,7104,2G
376,20230219,OCI0394,88,2G
377,20230219,OCI0395,1304,2G
378,20230219,OCI0396,1407,2G
379,20230219,OCI0397,1032,2G
380,20230219,OCI0398,1229,2G
381,20230219,OCI0399,317,2G
382,20230219,OCI0400,370,2G
383,20230219,OCI0401,412,2G
384,20230219,OCI0402,511,2G
385,20230219,OCI0403,335,2G
386,20230219,OCI0404,4038,2G
387,20230219,OCI0405,435,2G
388,20230219,OCI0406,500,2G
389,20230219,OCI0407,581,2G
390,20230219,OCI0408,716,2G
391,20230219,OCI0409,66,2G
392,20230219,OCI0410,10,2G
393,20230219,OCI0411,81,2G
394,20230219,OCI0412,97,2G
395,20230219,OCI0413,277,2G
396,20230219,OCI0414,382,2G
397,20230219,OCI0415,808,2G
398,20230219,OCI0416,643,2G
399,20230219,OCI0417,758,2G
400,20230219,OCI0418,105,2G
401,20230219,OCI0419,568,2G
402,20230219,OCI0420,1084,2G
403,20230219,OCI0421,1630,2G
404,20230219,OCI0422,408,2G
405,20230219,OCI0423,471,2G
406,20230219,OCI0424,869,2G
407,20230219,OCI0426,873,2G
408,20230219,OCI0427,216,2G
409,20230219,OCI0428,250,2G
410,20230219,OCI0429,2472,2G
411,20230219,OCI0430,468,2G
412,20230219,OCI0431,367,2G
413,20230219,OCI0432,346,2G
